batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name
1,e2865b6531945499,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_20260308_131021.json,TBK-019,train_pending_review,True,False,False,3607.8,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,[Kaynak: BELİRTİLMEMİŞ] Eval raporunda kaynak metni bulunmuyor.,"Verilen kaynak metinlerde Türk Ticaret Kanunu'na (TTK) veya anonim şirket kuruluş asgari sermayesine ilişkin herhangi bir bilgi bulunmamaktadır. Kaynaklar ağırlıklı olarak Türk Borçlar Kanunu (TBK) hükümlerini (satış sözleşmeleri, vekâlet, ortaklık, ücret ödemeleri vb.) içermektedir.

Bu nedenle, ""Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi"" sorusu, mevcut kaynaklarda yer almadığı için yanıtlanamaz.

**Bu konu şu anki TBK kapsamım dışındadır veya kaynaklarda bulunmamaktadır.**",REVISE,,Yeni kurulacak anonim şirkette asgari esas sermaye 250.000 TL’dir. Kayıtlı sermaye sistemini kabul etmiş halka açık olmayan anonim şirkette başlangıç sermayesi en az 500.000 TL olmalıdır.,
2,da1aa3603ce2ce1f,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_reranker_recovery_baseline_20260308.json,TBK-019,train_pending_review,True,False,False,2667.1,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,[Kaynak: BELİRTİLMEMİŞ] Eval raporunda kaynak metni bulunmuyor.,"Verilen kaynak metinler arasında Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi ile ilgili bir bilgi bulunmamaktadır.

Bu nedenle, mevzuata dayalı bir yanıt vermem mümkün değildir. Konuyla ilgili güncel ve doğru bilgi için lütfen uzman bir avukata danışınız.",REVISE,,Yeni kurulacak anonim şirkette asgari esas sermaye 250.000 TL’dir. Kayıtlı sermaye sistemini kabul etmiş halka açık olmayan anonim şirkette başlangıç sermayesi en az 500.000 TL olmalıdır.,
3,87a959c07850007e,TBK-005,easy,tbk_genel,evaluation/reports/eval_live_20260308_131021.json,TBK-005,train_pending_review,False,False,True,11155.0,Faiz oranı sözleşmede belirlenmemişse TBK'ya göre hangi faiz oranı uygulanır?,"[Kaynak: TBK m.88] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.120] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.388] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.387] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.234] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlerine dayanarak, sözleşmede faiz oranı kararlaştırılmamışsa uygulanacak oranlar borç türüne göre aşağıdaki gibidir:

1.  **Genel Faiz Borcu (TBK m.88):** Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık faiz oranı uygulanır [Kaynak: TBK m.88].
2.  **Temerrüt Faizi (TBK m.120):** Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık temerrüt faizi oranı uygulanır [Kaynak: TBK m.120].
3.  **Tüketim Ödünç Sözleşmeleri (TBK m.388):** Tüketim ödüncü sözleşmesinde faiz oranı belirlenmemişse, kural olarak ödünç alma zamanında ve yerinde o tür ödünçlerde geçerli olan faiz oranı uygulanır [Kaynak: TBK m.388].
4.  **Ticari Olmayan Tüketim Ödünç Sözleşmeleri (TBK m.387):** Ticari olmayan tüketim ödüncü sözleşmesinde taraflarca kararlaştırılmamışsa faiz istenemez [Kaynak: TBK m.387].
5.  **Satış Bedeli (TBK m.234):** Satış bedeline faiz istenebilmesi için öncelikle bir teamülün bulunması, alıcının maldan ürün elde etme imkânına sahip olması veya belirli günün geçmesiyle temerrüdün gerçekleşmesi gibi şartların oluşması gerekir; aksi takdirde otomatik bir oran uygulanmaz [Kaynak: TBK m.234].

Özetle, sözleşmede oran belirtilmemişse genel kural olarak borcun doğduğu tarihteki yürürlükteki mevzuat hükümleri veya o tür işlemlerde geçerli olan oranlar esas alınır [Kaynak: TBK m.88], [Kaynak: TBK m.120], [Kaynak: TBK m.388].",APPROVE,,,
4,3b70cf53c1120fa1,TBK-005,easy,tbk_genel,evaluation/reports/eval_live_reranker_recovery_baseline_20260308.json,TBK-005,train_pending_review,False,False,True,10996.6,Faiz oranı sözleşmede belirlenmemişse TBK'ya göre hangi faiz oranı uygulanır?,"[Kaynak: TBK m.388] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.88] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.120] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.387] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlere dayanarak, sözleşmede faiz oranı belirlenmemişse uygulanacak oranlar borcun türüne göre aşağıdaki gibidir:

1.  **Tüketim Ödünç Sözleşmeleri (TBK m.388):**
    Tüketim ödüncü sözleşmesinde faiz oranı belirlenmemişse, kural olarak ödünç alma zamanında ve yerinde o tür ödünçlerde geçerli olan faiz oranı uygulanır [Kaynak: TBK m.388].

2.  **Diğer Faiz Borçları (TBK m.88):**
    Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık faiz oranı uygulanır [Kaynak: TBK m.88].

3.  **Temerrüt Faizi (TBK m.120):**
    Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık temerrüt faizi oranı uygulanır [Kaynak: TBK m.120].

4.  **Ticari Olmayan Tüketim Ödünç Sözleşmeleri (TBK m.387):**
    Ticari olmayan tüketim ödüncü sözleşmesinde taraflarca kararlaştırılmamışsa faiz istenemez [Kaynak: TBK m.387].

**Önemli Sınırlamalar:**
*   Sözleşme ile kararlaştırılacak yıllık faiz oranı, mevzuata göre belirlenen oranın %50 fazlasını aşamaz [Kaynak: TBK m.88].
*   Sözleşme ile kararlaştırılacak yıllık temerrüt faizi oranı, mevzuata göre belirlenen oranın %100'ünü (yüzde yüz) aşamaz [Kaynak: TBK m.120].
*   Faizin anaparaya eklenerek birlikte yeniden faiz yürütülmesi kararlaştırılamaz [Kaynak: TBK m.388].",APPROVE,,,
5,9b57c58ddf7b9cc0,TBK-009,easy,tbk_genel,evaluation/reports/eval_live_20260308_131021.json,TBK-009,train_pending_review,False,False,True,5326.7,TBK'ya göre genel zamanaşımı süresi kaç yıldır ve bu süre hangi tarihten itibaren işlemeye başlar?,"[Kaynak: TBK m.146] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.149] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.151] (atıf etiketi; tam kaynak metni eval raporunda yok)","Türk Borçlar Kanunu'na (TBK) göre genel zamanaşımı süresi ve başlangıç tarihi ile ilgili bilgiler kaynak metinlerde şu şekildedir:

**Genel Zamanaşımı Süresi:**
Kanunda aksine bir hüküm bulunmadıkça, her alacak **on yıllık** zamanaşımına tabidir. [Kaynak: TBK m.146]

**Zamanaşımının Başlangıcı:**
Zamanaşımı, alacağın **muaccel olmasıyla** işlemeye başlar. [Kaynak: TBK m.149]
Alacağın muaccel olmasının bir bildirime bağlı olduğu hâllerde ise, zamanaşımı bu bildirimin yapılabileceği günden işlemeye başlar. [Kaynak: TBK m.149]

Sürelerin hesaplanmasında ise zamanaşımının başladığı gün sayılmaz ve zamanaşımı ancak sürenin son günü de hak kullanılmaksızın geçince gerçekleşmiş olur. [Kaynak: TBK m.151]",APPROVE,,,
6,3314a0eda2a7cfaf,TBK-009,easy,tbk_genel,evaluation/reports/eval_live_reranker_recovery_baseline_20260308.json,TBK-009,train_pending_review,False,False,True,11967.2,TBK'ya göre genel zamanaşımı süresi kaç yıldır ve bu süre hangi tarihten itibaren işlemeye başlar?,"[Kaynak: TBK m.156] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.72] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.73] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.149] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.389] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlerde, Türk Borçlar Kanunu'na (TBK) göre **genel zamanaşımı süresinin kaç yıl olduğu** açıkça belirtilmemiştir.

Kaynak metinlerde yer alan zamanaşımı süreleri ve başlangıç tarihleri şu şekildedir:
*   **TBK m.156:** Borcun senetle ikrar edilmesi veya mahkeme/hakem kararına bağlanması halinde yeni süre **on yıldır** ve zamanaşımının kesilmesiyle yeni bir süre işlemeye başlar [Kaynak: TBK m.156].
*   **TBK m.72:** Tazminat istemi, zarar görenin zararı ve tazminat yükümlüsünü öğrendiği tarihten başlayarak **iki yılın** ve her hâlde fiilin işlendiği tarihten başlayarak **on yılın** geçmesiyle zamanaşımına uğrar [Kaynak: TBK m.72].
*   **TBK m.73:** Rücu istemi, tazminatın tamamının ödendiği ve birlikte sorumlu kişinin öğrenildiği tarihten başlayarak **iki yılın** ve her hâlde tazminatın tamamının ödendiği tarihten başlayarak **on yılın** geçmesiyle zamanaşımına uğrar [Kaynak: TBK m.73].
*   **TBK m.149:** Zamanaşımı, alacağın muaccel olmasıyla işlemeye başlar. Alacağın muaccel olmasının bir bildirime bağlı olduğu hâllerde ise bu bildirimin yapılabileceği günden başlar [Kaynak: TBK m.149].
*   **TBK m.389:** Ödünç alanın ve ödünç verenin istemleri, temerrüde düşüldüğünden başlayarak **altı ayın** geçmesiyle zamanaşımına uğrar [Kaynak: TBK m.389].

Sonuç olarak, kaynak metinlerde ""genel zamanaşımı"" ifadesiyle tanımlanan ve genel hüküm olarak belirtilen bir süre (örneğin 10 yıl gibi genel bir kural) doğrudan verilmemiştir; sadece özel haller (tazminat, rücu, senetli borç, ödünç) için süreler ve başlangıç tarihleri belirtilmiştir.",REVISE,,Kanunda aksine hüküm olmadıkça her alacak 10 yıllık zamanaşımına tabidir. Zamanaşımı alacağın muaccel olduğu günden; muacceliyet bir bildirime bağlıysa bildirimin yapılabileceği günden itibaren işlemeye başlar.,
7,c5d1290421b9f06e,TBK-030,easy,tbk_genel,evaluation/reports/eval_live_20260308_131021.json,TBK-030,train_pending_review,False,False,True,3970.6,İfa zamanı taraflarca kararlaştırılmayan bir borç ne zaman muaccel olur?,"[Kaynak: TBK m.90] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.92] (atıf etiketi; tam kaynak metni eval raporunda yok)","Türk Borçlar Kanunu'na (TBK) göre, ifa zamanı taraflarca kararlaştırılmadıkça veya hukuki ilişkinin özelliğinden anlaşılmadıkça, her borç doğumu anında muaccel olur [Kaynak: TBK m.90].

Bu kural, borcun süreye bağlanmamış olması durumunda geçerlidir. Eğer borç belirli bir süreye bağlanmışsa, ifa zamanı bu sürelerin sona ermesiyle belirlenir [Kaynak: TBK m.92]. Ancak sorunuzda ifa zamanının kararlaştırılmadığı belirtilmiştir; bu durumda TBK m.90 uyarınca borç doğduğu anda muaccel sayılır.",APPROVE,,,
8,99366b556332610e,TBK-030,easy,tbk_genel,evaluation/reports/eval_live_reranker_recovery_baseline_20260308.json,TBK-030,train_pending_review,False,False,True,2560.1,İfa zamanı taraflarca kararlaştırılmayan bir borç ne zaman muaccel olur?,[Kaynak: TBK m.90] (atıf etiketi; tam kaynak metni eval raporunda yok),"İfa zamanı taraflarca kararlaştırılmayan bir borç, süreye bağlanmamışsa veya hukuki ilişkinin özelliğinden anlaşılmadıkça, **doğumu anında muaccel olur** [Kaynak: TBK m.90].",APPROVE,,,
9,000d2b5c70a19ac5,TBK-044,easy,tbk_genel,evaluation/reports/eval_live_20260308_131021.json,TBK-044,train_pending_review,False,False,True,9572.9,Müteselsil borçlulukta borçlulardan birinin ifası diğerlerini kurtarır mı?,"[Kaynak: TBK m.166] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.169] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.85] (atıf etiketi; tam kaynak metni eval raporunda yok)","Evet, müteselsil borçlulukta borçlulardan birinin ifası, diğer borçluları da borçtan kurtarır.

Bu durum, Türk Borçlar Kanunu'nun ilgili maddelerine göre şu şekildedir:

*   **Borçlulardan birinin ifası:** Borçlulardan biri, ifa veya takasla borcun tamamını veya bir kısmını sona erdirmişse, bu oranda diğer borçluları da borçtan kurtarmış olur [Kaynak: TBK m.166].
*   **Müteselsil borçlulukta ifa:** Müteselsil borçlulukta, borçlu alacaklılardan birine yaptığı ifayla, bütün alacaklılara karşı borcundan kurtulmuş olur [Kaynak: TBK m.169].
*   **Bölünemeyen borçta ifa:** Bölünemeyen bir borcun birden çok borçlusu varsa, borçlulardan her biri borcun tamamını ifa etmekle yükümlüdür ve ifada bulunan borçlu, diğer borçlulardan payları oranında alacağını isteyebilir [Kaynak: TBK m.85].

Ancak, borçlulardan biri alacaklıya ifada bulunmaksızın borçtan kurtulmuşsa (örneğin alacaklının borçlulardan biriyle yaptığı ibra sözleşmesi gibi), diğer borçlular bundan ancak durumun veya borcun niteliğinin elverdiği ölçüde yararlanabilirler [Kaynak: TBK m.166]. Ayrıca, alacaklının borçlulardan biriyle yaptığı ibra sözleşmesi, diğer borçluları da ibra edilen borçlunun iç ilişkideki borca katılma payı oranında borçtan kurtarır [Kaynak: TBK m.166].",APPROVE,,,
10,ccb4ff6d2a78d85c,TBK-044,easy,tbk_genel,evaluation/reports/eval_live_reranker_recovery_baseline_20260308.json,TBK-044,train_pending_review,False,False,True,9313.5,Müteselsil borçlulukta borçlulardan birinin ifası diğerlerini kurtarır mı?,"[Kaynak: TBK m.166] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.169] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.164] (atıf etiketi; tam kaynak metni eval raporunda yok)","Evet, müteselsil borçlulukta borçlulardan birinin ifası, diğer borçluları da borçtan kurtarır.

Bu durum, kaynak metinlerde şu şekilde belirtilmiştir:
*   Borçlulardan biri, ifa veya takasla borcun tamamını veya bir kısmını sona erdirmişse, bu oranda diğer borçluları da borçtan kurtarmış olur [Kaynak: TBK m.166].
*   Borçlu, alacaklılardan birine yaptığı ifayla, bütün alacaklılara karşı borcundan kurtulmuş olur [Kaynak: TBK m.169].

Ancak, bu kurtulma durumunun diğer borçlulara tam olarak yansıması için bazı şartlar veya istisnalar bulunmaktadır:
*   Borçlulardan biri, alacaklıya ifada bulunmaksızın borçtan kurtulmuşsa, diğer borçlular bundan ancak durumun veya borcun niteliğinin elverdiği ölçüde yararlanabilirler [Kaynak: TBK m.166].
*   Müteselsil borçlulardan biri, alacaklıya karşı ancak onunla kendi arasındaki kişisel ilişkilerden veya müteselsil borcun sebep ya da konusundan doğan def' ve itirazları ileri sürebilir; eğer ortak def' ve itirazları ileri sürmezse, diğerlerine karşı sorumlu olur [Kaynak: TBK m.164].",APPROVE,,,
