batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name
1,01ee8167e67f42a4,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:113:tpl:1,train_pending_review,,,,,TBK m.113'e göre temel kural nedir?,"[Kaynak: TBK m.113] Başlık: 2. Yapma ve yapmama / Yapma borcu, borçlu tarafından ifa edilmediği takdirde
alacaklı, masrafı borçluya ait olmak üzere edimin kendisi veya başkası tarafından ifasına izin verilmesini isteyebilir; her türlü giderim isteme hakkı saklıdır. Yapmama borcuna aykırı davranan borçlu, bu aykırı davranışının doğurduğu zararı gidermekle yükümlüdür. Alacaklı, ayrıca borca aykırı durumun ortadan kaldırılmasını veya bu konuda masrafı borçluya ait olmak üzere kendisinin yetkili kılınmasını isteyebilir. II. Sorumluluğun ve giderim borcunun kapsamı","TBK m.113 metnine göre: ""alacaklı, masrafı borçluya ait olmak üzere edimin kendisi veya başkası tarafından ifasına izin verilmesini isteyebilir; her türlü giderim isteme hakkı saklıdır."" [Kaynak: TBK m.113]",,,,
2,048f05ad732b63f1,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:113:tpl:3,train_pending_review,,,,,TBK m.113 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.113] Başlık: 2. Yapma ve yapmama / Yapma borcu, borçlu tarafından ifa edilmediği takdirde
alacaklı, masrafı borçluya ait olmak üzere edimin kendisi veya başkası tarafından ifasına izin verilmesini isteyebilir; her türlü giderim isteme hakkı saklıdır. Yapmama borcuna aykırı davranan borçlu, bu aykırı davranışının doğurduğu zararı gidermekle yükümlüdür. Alacaklı, ayrıca borca aykırı durumun ortadan kaldırılmasını veya bu konuda masrafı borçluya ait olmak üzere kendisinin yetkili kılınmasını isteyebilir. II. Sorumluluğun ve giderim borcunun kapsamı","Özet: ""alacaklı, masrafı borçluya ait olmak üzere edimin kendisi veya başkası tarafından ifasına izin verilmesini isteyebilir; her türlü giderim isteme hakkı saklıdır."" [Kaynak: TBK m.113]",,,,
3,0abaaadd4894bf43,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:111:tpl:4,train_pending_review,,,,,TBK m.111 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.111] Başlık: F. Diğer ifa engelleri / Borçlunun kusuru olmaksızın, alacağın kime ait
olduğunda veya alacaklının kimliğinde duraksama sebebiyle ya da alacaklıdan kaynaklanan diğer kişisel bir sebeple borç, alacaklıya veya temsilcisine ifa edilemezse borçlu, alacaklının temerrüdünde olduğu gibi, tevdi ya da sözleşmeden dönme hakkını kullanabilir. İKİNCİ AYIRIM Borçların İfa Edilmemesinin Sonuçları A. Borcun ifa edilmemesi I. Giderim borcu","Doğrudan metin dayanağı: ""olduğunda veya alacaklının kimliğinde duraksama sebebiyle ya da alacaklıdan kaynaklanan diğer kişisel bir sebeple borç, alacaklıya veya temsilcisine ifa edilemezse borçlu, alacaklının temerrüdünde olduğu gibi, tevdi ya da sözleşmeden dönme hakkını kullanabilir."" [Kaynak: TBK m.111]",,,,
4,1166ff9cf3b3ca5f,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:102:tpl:1,train_pending_review,,,,,TBK m.102'e göre temel kural nedir?,"[Kaynak: TBK m.102] Başlık: Kanunen geçerli bir açıklama yapılmadığı veya makbuzda
bir açıklık bulunmadığı durumda ödeme, muaccel borç için yapılmış sayılır. Birden çok borç muaccel ise ödemenin, borçluya karşı ilk olarak takip edilen borç için yapılmış olduğu kabul edilir. Takip yapılmamış ise ödeme, vadesi ilk önce gelmiş olan borç için yapılmış olur. Birden çok borcun vadesi aynı zamanda gelmişse, mahsup orantılı olarak; borçlardan hiçbirinin vadesi gelmemişse ödeme, güvencesi en az olan borç için yapılmış sayılır. III. Makbuz ve senetlerin geri verilmesi","TBK m.102 metnine göre: ""bir açıklık bulunmadığı durumda ödeme, muaccel borç için yapılmış sayılır. Birden çok borç muaccel ise ödemenin, borçluya karşı ilk olarak takip edilen borç için yapılmış olduğu kabul edilir."" [Kaynak: TBK m.102]",,,,
5,147eb235e384984c,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:105:tpl:3,train_pending_review,,,,,TBK m.105 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.105] Başlık: 3. Senedin geri / Alacaklı, borç senedini kaybettiğini iddia ederse,
borçlunun istemi üzerine, borcu ödeme sırasında, kendisine borç senedinin iptalini ve borcun sona ermiş olduğunu gösteren resmen düzenlenmiş veya usulüne göre onaylanmış bir belge vermek zorundadır. Kıymetli evrakın iptaline ilişkin hükümler saklıdır. E. Alacaklının temerrüdü","Özet: ""borçlunun istemi üzerine, borcu ödeme sırasında, kendisine borç senedinin iptalini ve borcun sona ermiş olduğunu gösteren resmen düzenlenmiş veya usulüne göre onaylanmış bir belge vermek zorundadır."" [Kaynak: TBK m.105]",,,,
6,15bf13b917027a4e,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:G2:tpl:4,train_pending_review,,,,,TBK Geçici m.2 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK Geçici m.2]
(Ek: 14/7/2023-7456/23 md.) Konut kiraları bakımından 2/7/2023 ilâ 1/7/2024 (bu tarihler dâhil) tarihleri arasında yenilenen kira dönemlerinde uygulanacak kira bedeline ilişkin anlaşmalar, bir önceki kira yılına ait kira bedelinin yüzde yirmi beşini geçmemek koşuluyla geçerlidir. Bir önceki kira yılının tüketici fiyat endeksindeki oniki aylık ortalamalara göre değişim oranının yüzde yirmi beşin altında kalması halinde değişim oranı geçerlidir. Bu kural, bir yıldan daha uzun süreli kira sözleşmelerinde de uygulanır. Bu oranları geçecek şekilde yapılan sözleşmeler, fazla miktar yönünden geçersizdir. Bu fıkra hükmü, 344 üncü maddenin ikinci fıkrası uyarınca hâkim tarafından verilecek kararlar bakımından da uygulanır. Yürürlük","Doğrudan metin dayanağı: ""(Ek: 14/7/2023-7456/23 md.) Konut kiraları bakımından 2/7/2023 ilâ 1/7/2024 (bu tarihler dâhil) tarihleri arasında yenilenen kira dönemlerinde uygulanacak kira bedeline ilişkin anlaşmalar, bir önceki kira yılına ait kira bedelinin yüzde yirmi beşini geçmemek koşuluyla geçerlidir."" [Kaynak: TBK Geçici m.2]",,,,
7,16809ee8a9c43f57,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:10:tpl:2,train_pending_review,,,,,TBK m.10 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.10] Başlık: 7. Önerinin ve kabulün / Geri alma
açıklaması, diğer tarafa öneriden önce veya aynı anda ulaşmış ya da daha sonra ulaşmakla birlikte diğer tarafça öneriden önce öğrenilmiş olursa, öneri yapılmamış sayılır. Bu kural, kabulün geri alınmasında da uygulanır.","Madde metni şu kuralı içerir: ""açıklaması, diğer tarafa öneriden önce veya aynı anda ulaşmış ya da daha sonra ulaşmakla birlikte diğer tarafça öneriden önce öğrenilmiş olursa, öneri yapılmamış sayılır."" [Kaynak: TBK m.10]",,,,
8,18405504d3e5beee,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:114:tpl:2,train_pending_review,,,,,TBK m.114 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.114] Başlık: 1. Genel olarak / Borçlu, genel olarak her türlü kusurdan sorumludur.
Borçlunun sorumluluğunun kapsamı, işin özel niteliğine göre belirlenir. İş özellikle borçlu için bir yarar sağlamıyorsa, sorumluluk daha hafif olarak değerlendirilir. Haksız fiil sorumluluğuna ilişkin hükümler, kıyas yoluyla sözleşmeye aykırılık hâllerine de uygulanır.","Madde metni şu kuralı içerir: ""Borçlunun sorumluluğunun kapsamı, işin özel niteliğine göre belirlenir. İş özellikle borçlu için bir yarar sağlamıyorsa, sorumluluk daha hafif olarak değerlendirilir."" [Kaynak: TBK m.114]",,,,
9,1d5da9be195430aa,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:G1:tpl:1,train_pending_review,,,,,TBK Geçici m.1'e göre temel kural nedir?,"[Kaynak: TBK Geçici m.1]
(Ek:8/6/2022-7409/4 md.) Konut kiraları bakımından bu maddenin yürürlüğe girdiği tarih ilâ 1/7/2023 (bu tarih dâhil) tarihleri arasında yenilenen kira dönemlerinde uygulanacak kira bedeline ilişkin anlaşmalar, bir önceki kira yılına ait kira bedelinin yüzde yirmi beşini geçmemek koşuluyla geçerlidir. Bir önceki kira yılının tüketici fiyat endeksindeki oniki aylık ortalamalara göre değişim oranının yüzde yirmi beşin altında kalması halinde değişim oranı geçerlidir. Bu kural, bir yıldan daha uzun süreli kira sözleşmelerinde de uygulanır. Bu oranları geçecek şekilde yapılan sözleşmeler, fazla miktar yönünden geçersizdir. Bu fıkra hükmü, 344 üncü maddenin ikinci fıkrası uyarınca hâkim tarafından verilecek kararlar bakımından da uygulanır.","TBK Geçici m.1 metnine göre: ""(Ek:8/6/2022-7409/4 md.) Konut kiraları bakımından bu maddenin yürürlüğe girdiği tarih ilâ 1/7/2023 (bu tarih dâhil) tarihleri arasında yenilenen kira dönemlerinde uygulanacak kira bedeline ilişkin anlaşmalar, bir önceki kira yılına ait kira bedelinin yüzde yirmi beşini geçmemek koşuluyla geçerlidir."" [Kaynak: TBK Geçici m.1]",,,,
10,21549d8563a9cafd,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:10:tpl:4,train_pending_review,,,,,TBK m.10 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.10] Başlık: 7. Önerinin ve kabulün / Geri alma
açıklaması, diğer tarafa öneriden önce veya aynı anda ulaşmış ya da daha sonra ulaşmakla birlikte diğer tarafça öneriden önce öğrenilmiş olursa, öneri yapılmamış sayılır. Bu kural, kabulün geri alınmasında da uygulanır.","Doğrudan metin dayanağı: ""açıklaması, diğer tarafa öneriden önce veya aynı anda ulaşmış ya da daha sonra ulaşmakla birlikte diğer tarafça öneriden önce öğrenilmiş olursa, öneri yapılmamış sayılır."" [Kaynak: TBK m.10]",,,,
