batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyerA_decision,lawyerA_comment,lawyerA_corrected_answer,lawyerA_reviewer_name,lawyerB_decision,lawyerB_comment,lawyerB_corrected_answer,lawyerB_reviewer_name,decision_pair,is_disagreement,final_bucket,final_answer_source,final_answer,include_in_training,unresolved_reason
1,34660e3cfe9e8915,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:77:tpl:3,train_pending_review,,,,,TBK m.77 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.77] Başlık: I. Genel olarak / Haklı bir sebep olmaksızın, bir başkasının
malvarlığından veya emeğinden zenginleşen, bu zenginleşmeyi geri vermekle yükümlüdür. Bu yükümlülük, özellikle zenginleşmenin geçerli olmayan veya gerçekleşmemiş ya da sona ermiş bir sebebe dayanması durumunda doğmuş olur.","Özet: ""malvarlığından veya emeğinden zenginleşen, bu zenginleşmeyi geri vermekle yükümlüdür."" [Kaynak: TBK m.77]",REVISE,,"Özet: ""Haklı bir sebep olmaksızın, bir başkasının malvarlığından veya emeğinden zenginleşen, bu zenginleşmeyi geri vermekle yükümlüdür. Bu yükümlülük, özellikle zenginleşmenin geçerli olmayan veya gerçekleşmemiş ya da sona ermiş bir sebebe dayanması durumunda doğmuş olur."" [Kaynak: TBK m.77]",,REVISE,,"Özet: Haklı bir sebep olmaksızın, bir başkasının malvarlığından veya emeğinden zenginleşen, bu zenginleşmeyi geri vermekle yükümlüdür. Bu yükümlülük, özellikle zenginleşmenin geçerli olmayan veya gerçekleşmemiş ya da sona ermiş bir sebebe dayanması durumunda doğmuş olur. [Kaynak: TBK m.77]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Haklı bir sebep olmaksızın, bir başkasının malvarlığından veya emeğinden zenginleşen, bu zenginleşmeyi geri vermekle yükümlüdür. Bu yükümlülük, özellikle zenginleşmenin geçerli olmayan veya gerçekleşmemiş ya da sona ermiş bir sebebe dayanması durumunda doğmuş olur."" [Kaynak: TBK m.77]",1,
2,34690368b1820d7c,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:508:tpl:2,train_pending_review,,,,,TBK m.508 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.508] Başlık: 3. Hesap verme / Vekil, vekâlet verenin istemi üzerine yürüttüğü işin
hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür.","Madde metni şu kuralı içerir: ""hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür."" [Kaynak: TBK m.508]",REVISE,,"Madde metni şu kuralı içerir: ""Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür."" [Kaynak: TBK m.508]",,REVISE,,"Madde metni şu kuralı içerir: Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür. [Kaynak: TBK m.508]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür."" [Kaynak: TBK m.508]",1,
3,3475ab531a04574b,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:23:tpl:4,train_pending_review,,,,,TBK m.23 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.23] Başlık: III. Yorumlanması / Genel işlem
koşullarında yer alan bir hüküm, açık ve anlaşılır değilse veya birden çok anlama geliyorsa, düzenleyenin aleyhine ve karşı tarafın lehine yorumlanır.","Doğrudan metin dayanağı: ""koşullarında yer alan bir hüküm, açık ve anlaşılır değilse veya birden çok anlama geliyorsa, düzenleyenin aleyhine ve karşı tarafın lehine yorumlanır."" [Kaynak: TBK m.23]",REVISE,,"Doğrudan metin dayanağı: ""Genel işlem koşullarında yer alan bir hüküm, açık ve anlaşılır değilse veya birden çok anlama geliyorsa, düzenleyenin aleyhine ve karşı tarafın lehine yorumlanır."" [Kaynak: TBK m.23]",,REVISE,,"Doğrudan metin dayanağı: ""Genel işlem koşullarında yer alan bir hüküm, açık ve anlaşılır değilse veya birden çok anlama geliyorsa, düzenleyenin aleyhine ve karşı tarafın lehine yorumlanır."" [Kaynak: TBK m.23]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Genel işlem koşullarında yer alan bir hüküm, açık ve anlaşılır değilse veya birden çok anlama geliyorsa, düzenleyenin aleyhine ve karşı tarafın lehine yorumlanır."" [Kaynak: TBK m.23]",1,
4,347675e170073997,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:508:tpl:3,train_pending_review,,,,,TBK m.508 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.508] Başlık: 3. Hesap verme / Vekil, vekâlet verenin istemi üzerine yürüttüğü işin
hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür.","Özet: ""hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür."" [Kaynak: TBK m.508]",REVISE,,"Özet: ""Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür."" [Kaynak: TBK m.508]",,REVISE,,"Özet: Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür. [Kaynak: TBK m.508]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Özet: ""Vekil, vekâlet verenin istemi üzerine yürüttüğü işin hesabını vermek ve vekâletle ilişkili olarak aldıklarını vekâlet verene vermekle yükümlüdür. Vekil, vekâlet verene tesliminde geciktiği paranın faizini de ödemekle yükümlüdür."" [Kaynak: TBK m.508]",1,
5,34d9156826276473,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:487:tpl:1,train_pending_review,,,,,TBK m.487'e göre temel kural nedir?,"[Kaynak: TBK m.487] Başlık: A. Tanımı / Yayım sözleşmesi, bir fikir ve sanat
eseri sahibinin veya halefinin, o eseri yayımlanmak üzere yayımcıya bırakmayı, yayımcının da onu çoğaltarak yayımlamayı üstlendiği sözleşmedir.","TBK m.487 metnine göre: ""eseri sahibinin veya halefinin, o eseri yayımlanmak üzere yayımcıya bırakmayı, yayımcının da onu çoğaltarak yayımlamayı üstlendiği sözleşmedir."" [Kaynak: TBK m.487]",REVISE,,"TBK m.487 metnine göre: ""Yayım sözleşmesi, bir fikir ve sanat eseri sahibinin veya halefinin, o eseri yayımlanmak üzere yayımcıya bırakmayı, yayımcının da onu çoğaltarak yayımlamayı üstlendiği sözleşmedir."" [Kaynak: TBK m.487]",,REVISE,,"TBK m.487 metnine göre: ""Yayım sözleşmesi, bir fikir ve sanat eseri sahibinin veya halefinin, o eseri yayımlanmak üzere yayımcıya bırakmayı, yayımcının da onu çoğaltarak yayımlamayı üstlendiği sözleşmedir."" [Kaynak: TBK m.487]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.487 metnine göre: ""Yayım sözleşmesi, bir fikir ve sanat eseri sahibinin veya halefinin, o eseri yayımlanmak üzere yayımcıya bırakmayı, yayımcının da onu çoğaltarak yayımlamayı üstlendiği sözleşmedir."" [Kaynak: TBK m.487]",1,
6,34e4597f13c024e0,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:432:tpl:4,train_pending_review,,,,,TBK m.432 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.432] Başlık: 2. Fesih bildirim süresi / Belirsiz süreli hizmet sözleşmelerinin feshinden önce,
durumun diğer tarafa bildirilmesi gerekir. Hizmet sözleşmesi; bildirimin diğer tarafa ulaşmasından başlayarak, hizmet süresi bir yıla kadar sürmüş olan işçi için iki hafta sonra; bir yıldan beş yıla kadar sürmüş işçi için dört hafta ve beş yıldan fazla sürmüş işçi için altı hafta sonra sona erer. Bu süreler kısaltılamaz; ancak sözleşmeyle artırılabilir. İşveren, fesih bildirim süresine ait ücreti peşin vermek suretiyle hizmet sözleşmesini feshedebilir. Fesih bildirim sürelerinin, her iki taraf için de aynı olması zorunludur; sözleşmede farklı süreler öngörülmüşse, her iki tarafa da en uzun olan fesih bildirim süresi uygulanır. Hizmet sözleşmesinin askıya alındığı hâllerde fesih bildirim süreleri işlemez. b. Deneme süresi içinde","Doğrudan metin dayanağı: ""durumun diğer tarafa bildirilmesi gerekir. Hizmet sözleşmesi; bildirimin diğer tarafa ulaşmasından başlayarak, hizmet süresi bir yıla kadar sürmüş olan işçi için iki hafta sonra; bir yıldan beş yıla kadar sürmüş işçi için dört hafta ve beş yıldan fazla sürmüş işçi için altı hafta sonra sona erer."" [Kaynak: TBK m.432]",REVISE,,"Doğrudan metin dayanağı: ""Belirsiz süreli hizmet sözleşmelerinin feshinden önce, durumun diğer tarafa bildirilmesi gerekir. Hizmet sözleşmesi; bildirimin diğer tarafa ulaşmasından başlayarak, hizmet süresi bir yıla kadar sürmüş olan işçi için iki hafta sonra; bir yıldan beş yıla kadar sürmüş işçi için dört hafta ve beş yıldan fazla sürmüş işçi için altı hafta sonra sona erer. Bu süreler kısaltılamaz; ancak sözleşmeyle artırılabilir. İşveren, fesih bildirim süresine ait ücreti peşin vermek suretiyle hizmet sözleşmesini feshedebilir. Fesih bildirim sürelerinin, her iki taraf için de aynı olması zorunludur; sözleşmede farklı süreler öngörülmüşse, her iki tarafa da en uzun olan fesih bildirim süresi uygulanır. Hizmet sözleşmesinin askıya alındığı hâllerde fesih bildirim süreleri işlemez."" [Kaynak: TBK m.432]",,REVISE,,"Doğrudan metin dayanağı: ""Belirsiz süreli hizmet sözleşmelerinin feshinden önce, durumun diğer tarafa bildirilmesi gerekir. Hizmet sözleşmesi; bildirimin diğer tarafa ulaşmasından başlayarak, hizmet süresi bir yıla kadar sürmüş olan işçi için iki hafta sonra; bir yıldan beş yıla kadar sürmüş işçi için dört hafta ve beş yıldan fazla sürmüş işçi için altı hafta sonra sona erer. Bu süreler kısaltılamaz; ancak sözleşmeyle artırılabilir. İşveren, fesih bildirim süresine ait ücreti peşin vermek suretiyle hizmet sözleşmesini feshedebilir. Fesih bildirim sürelerinin, her iki taraf için de aynı olması zorunludur; sözleşmede farklı süreler öngörülmüşse, her iki tarafa da en uzun olan fesih bildirim süresi uygulanır. Hizmet sözleşmesinin askıya alındığı hâllerde fesih bildirim süreleri işlemez."" [Kaynak: TBK m.432]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"Doğrudan metin dayanağı: ""Belirsiz süreli hizmet sözleşmelerinin feshinden önce, durumun diğer tarafa bildirilmesi gerekir. Hizmet sözleşmesi; bildirimin diğer tarafa ulaşmasından başlayarak, hizmet süresi bir yıla kadar sürmüş olan işçi için iki hafta sonra; bir yıldan beş yıla kadar sürmüş işçi için dört hafta ve beş yıldan fazla sürmüş işçi için altı hafta sonra sona erer. Bu süreler kısaltılamaz; ancak sözleşmeyle artırılabilir. İşveren, fesih bildirim süresine ait ücreti peşin vermek suretiyle hizmet sözleşmesini feshedebilir. Fesih bildirim sürelerinin, her iki taraf için de aynı olması zorunludur; sözleşmede farklı süreler öngörülmüşse, her iki tarafa da en uzun olan fesih bildirim süresi uygulanır. Hizmet sözleşmesinin askıya alındığı hâllerde fesih bildirim süreleri işlemez."" [Kaynak: TBK m.432]",1,
7,34e98d45a0a0b5f9,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:186:tpl:1,train_pending_review,,,,,TBK m.186'e göre temel kural nedir?,"[Kaynak: TBK m.186] Başlık: 1. İyiniyetle yapılan / Borçlu, alacağın devredildiği, devreden veya devralan
tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur.","TBK m.186 metnine göre: ""tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",REVISE,,"TBK m.186 metnine göre: ""Borçlu, alacağın devredildiği, devreden veya devralan tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",,REVISE,,"TBK m.186 metnine göre: ""Borçlu, alacağın devredildiği, devreden veya devralan tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.186 metnine göre: ""Borçlu, alacağın devredildiği, devreden veya devralan tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",1,
8,34f2bbe584f4eeec,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:214:tpl:1,train_pending_review,,,,,TBK m.214'e göre temel kural nedir?,"[Kaynak: TBK m.214] Başlık: 1. Konusu / Satış
sözleşmesinin kurulduğu sırada var olan bir hak dolayısıyla, satılanın tamamı veya bir kısmı bir üçüncü kişi tarafından alıcının elinden alınırsa satıcı, bundan dolayı alıcıya karşı sorumlu olur. Alıcı, elinden alınma tehlikesini sözleşmenin kurulduğu sırada biliyor idiyse satıcı, ayrıca üstlenmiş olmadıkça bundan dolayı sorumlu olmaz. Satıcı, üçüncü kişinin hakkını gizlemişse, sorumluluğunu kaldırma veya sınırlama konusunda yapılmış olan anlaşma kesin olarak hükümsüzdür.","TBK m.214 metnine göre: ""sözleşmesinin kurulduğu sırada var olan bir hak dolayısıyla, satılanın tamamı veya bir kısmı bir üçüncü kişi tarafından alıcının elinden alınırsa satıcı, bundan dolayı alıcıya karşı sorumlu olur."" [Kaynak: TBK m.214]",REVISE,,"TBK m.214 metnine göre: ""Satış sözleşmesinin kurulduğu sırada var olan bir hak dolayısıyla, satılanın tamamı veya bir kısmı bir üçüncü kişi tarafından alıcının elinden alınırsa satıcı, bundan dolayı alıcıya karşı sorumlu olur. Alıcı, elinden alınma tehlikesini sözleşmenin kurulduğu sırada biliyor idiyse satıcı, ayrıca üstlenmiş olmadıkça bundan dolayı sorumlu olmaz. Satıcı, üçüncü kişinin hakkını gizlemişse, sorumluluğunu kaldırma veya sınırlama konusunda yapılmış olan anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.214]",,REVISE,,"TBK m.214 metnine göre: ""Satış sözleşmesinin kurulduğu sırada var olan bir hak dolayısıyla, satılanın tamamı veya bir kısmı bir üçüncü kişi tarafından alıcının elinden alınırsa satıcı, bundan dolayı alıcıya karşı sorumlu olur. Alıcı, elinden alınma tehlikesini sözleşmenin kurulduğu sırada biliyor idiyse satıcı, ayrıca üstlenmiş olmadıkça bundan dolayı sorumlu olmaz. Satıcı, üçüncü kişinin hakkını gizlemişse, sorumluluğunu kaldırma veya sınırlama konusunda yapılmış olan anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.214]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.214 metnine göre: ""Satış sözleşmesinin kurulduğu sırada var olan bir hak dolayısıyla, satılanın tamamı veya bir kısmı bir üçüncü kişi tarafından alıcının elinden alınırsa satıcı, bundan dolayı alıcıya karşı sorumlu olur. Alıcı, elinden alınma tehlikesini sözleşmenin kurulduğu sırada biliyor idiyse satıcı, ayrıca üstlenmiş olmadıkça bundan dolayı sorumlu olmaz. Satıcı, üçüncü kişinin hakkını gizlemişse, sorumluluğunu kaldırma veya sınırlama konusunda yapılmış olan anlaşma kesin olarak hükümsüzdür."" [Kaynak: TBK m.214]",1,
9,34fd6ee89133de8f,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:288:tpl:2,train_pending_review,,,,,TBK m.288 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.288] Başlık: I. Bağışlama sözü verme / Bağışlama sözü vermenin geçerliliği, bu sözleşmenin yazılı şekilde yapılmasına
bağlıdır. Bir taşınmazın veya taşınmaz üzerindeki ayni bir hakkın bağışlanması sözü vermenin geçerliliği, ancak resmî şekilde yapılmış olmasına bağlıdır. Şekle uyulmaması sebebiyle geçersiz olan bağışlama sözü verme, bağışlayan tarafından yerine getirildiğinde, elden bağışlama hükmündedir. Ancak, geçerliliği resmî şekle bağlanmış olan bağışlamalarda bu hüküm uygulanmaz.","Madde metni şu kuralı içerir: ""bağlıdır. Bir taşınmazın veya taşınmaz üzerindeki ayni bir hakkın bağışlanması sözü vermenin geçerliliği, ancak resmî şekilde yapılmış olmasına bağlıdır."" [Kaynak: TBK m.288]",REVISE,,"Madde metni şu kuralı içerir: ""Bağışlama sözü vermenin geçerliliği, bu sözleşmenin yazılı şekilde yapılmasına bağlıdır. Bir taşınmazın veya taşınmaz üzerindeki ayni bir hakkın bağışlanması sözü vermenin geçerliliği, ancak resmî şekilde yapılmış olmasına bağlıdır. Şekle uyulmaması sebebiyle geçersiz olan bağışlama sözü verme, bağışlayan tarafından yerine getirildiğinde, elden bağışlama hükmündedir. Ancak, geçerliliği resmî şekle bağlanmış olan bağışlamalarda bu hüküm uygulanmaz."" [Kaynak: TBK m.288]",,REVISE,,"Madde metni şu kuralı içerir: Bağışlama sözü vermenin geçerliliği, bu sözleşmenin yazılı şekilde yapılmasına bağlıdır. Bir taşınmazın veya taşınmaz üzerindeki ayni bir hakkın bağışlanması sözü vermenin geçerliliği, ancak resmî şekilde yapılmış olmasına bağlıdır. Şekle uyulmaması sebebiyle geçersiz olan bağışlama sözü verme, bağışlayan tarafından yerine getirildiğinde, elden bağışlama hükmündedir. Ancak, geçerliliği resmî şekle bağlanmış olan bağışlamalarda bu hüküm uygulanmaz. [Kaynak: TBK m.288]",,REVISE+REVISE,0,revised_needed,lawyerA_corrected_tiebreak,"Madde metni şu kuralı içerir: ""Bağışlama sözü vermenin geçerliliği, bu sözleşmenin yazılı şekilde yapılmasına bağlıdır. Bir taşınmazın veya taşınmaz üzerindeki ayni bir hakkın bağışlanması sözü vermenin geçerliliği, ancak resmî şekilde yapılmış olmasına bağlıdır. Şekle uyulmaması sebebiyle geçersiz olan bağışlama sözü verme, bağışlayan tarafından yerine getirildiğinde, elden bağışlama hükmündedir. Ancak, geçerliliği resmî şekle bağlanmış olan bağışlamalarda bu hüküm uygulanmaz."" [Kaynak: TBK m.288]",1,
10,3519e00eac50a304,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:137:tpl:1,train_pending_review,,,,,TBK m.137'e göre temel kural nedir?,"[Kaynak: TBK m.137] Başlık: II. Kısmi ifa imkânsızlığı / Borcun ifası borçlunun sorumlu tutulamayacağı
sebeplerle kısmen imkânsızlaşırsa borçlu, borcunun sadece imkânsızlaşan kısmından kurtulur. Ancak, bu kısmi ifa imkânsızlığı önceden öngörülseydi taraflarca böyle bir sözleşmenin yapılmayacağı açıkça anlaşılırsa, borcun tamamı sona erer. Karşılıklı borç yükleyen sözleşmelerde, bir tarafın borcu kısmen imkânsızlaşır ve alacaklı kısmi ifaya razı olursa, karşı edim de o oranda ifa edilir. Alacaklının böyle bir ifaya razı olmaması veya karşı edimin bölünemeyen nitelikte olması durumunda, tam imkânsızlık hükümleri uygulanır.","TBK m.137 metnine göre: ""sebeplerle kısmen imkânsızlaşırsa borçlu, borcunun sadece imkânsızlaşan kısmından kurtulur."" [Kaynak: TBK m.137]",REVISE,,"TBK m.137 metnine göre: ""Borcun ifası borçlunun sorumlu tutulamayacağı sebeplerle kısmen imkânsızlaşırsa borçlu, borcunun sadece imkânsızlaşan kısmından kurtulur. Ancak, bu kısmi ifa imkânsızlığı önceden öngörülseydi taraflarca böyle bir sözleşmenin yapılmayacağı açıkça anlaşılırsa, borcun tamamı sona erer. Karşılıklı borç yükleyen sözleşmelerde, bir tarafın borcu kısmen imkânsızlaşır ve alacaklı kısmi ifaya razı olursa, karşı edim de o oranda ifa edilir. Alacaklının böyle bir ifaya razı olmaması veya karşı edimin bölünemeyen nitelikte olması durumunda, tam imkânsızlık hükümleri uygulanır."" [Kaynak: TBK m.137]",,REVISE,,"TBK m.137 metnine göre: ""Borcun ifası borçlunun sorumlu tutulamayacağı sebeplerle kısmen imkânsızlaşırsa borçlu, borcunun sadece imkânsızlaşan kısmından kurtulur. Ancak, bu kısmi ifa imkânsızlığı önceden öngörülseydi taraflarca böyle bir sözleşmenin yapılmayacağı açıkça anlaşılırsa, borcun tamamı sona erer. Karşılıklı borç yükleyen sözleşmelerde, bir tarafın borcu kısmen imkânsızlaşır ve alacaklı kısmi ifaya razı olursa, karşı edim de o oranda ifa edilir. Alacaklının böyle bir ifaya razı olmaması veya karşı edimin bölünemeyen nitelikte olması durumunda, tam imkânsızlık hükümleri uygulanır."" [Kaynak: TBK m.137]",,REVISE+REVISE,0,revised_needed,both_corrected_identical,"TBK m.137 metnine göre: ""Borcun ifası borçlunun sorumlu tutulamayacağı sebeplerle kısmen imkânsızlaşırsa borçlu, borcunun sadece imkânsızlaşan kısmından kurtulur. Ancak, bu kısmi ifa imkânsızlığı önceden öngörülseydi taraflarca böyle bir sözleşmenin yapılmayacağı açıkça anlaşılırsa, borcun tamamı sona erer. Karşılıklı borç yükleyen sözleşmelerde, bir tarafın borcu kısmen imkânsızlaşır ve alacaklı kısmi ifaya razı olursa, karşı edim de o oranda ifa edilir. Alacaklının böyle bir ifaya razı olmaması veya karşı edimin bölünemeyen nitelikte olması durumunda, tam imkânsızlık hükümleri uygulanır."" [Kaynak: TBK m.137]",1,
