batch_id,row_id,surface_name,question,model_answer,source_citation,expected_source_type,expected_display_citation,expected_yururluk_state,cross_type_disambiguation,is_problem_core,is_sentinel_control,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name,second_reviewer_name
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0010,source_local_direct_retrieval,1134 m.47 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1134 m.47 (CB_YONETMELIK). Yürütme. Yürütme MADDE 47- (1) Bu Yönetmelik hükümlerini Kültür ve Turizm Bakanı yürütür. [Kaynak: 1134 m.47],1134 m.47,CB_YONETMELIK,1134 m.47,YURURLUKTE,false,false,true,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0039,cross_type_wrong_source_disambiguation,20013002 m.0 hükmünü tür bazında disambiguation yaparak gösterir misin?,Bu atif YONETMELIK turundedir. Dayanak 20013002 m.0. Diğer Bilgiler. 2/7/2001 TARİH VE 2001/3002 SAYILI BAKANLAR KURULU KARARI İLE YÜRÜRLÜĞE KONULAN YÖNETMELİĞE EK VE DEĞİŞİKLİK GETİREN YÖNETMELİKLERİN YÜRÜRLÜĞE GİRİŞ TARİHLERİNİ GÖSTEREN ÇİZELGE Ek ve Değişiklik Getiren Yönetmeliği Yürürlüğe Koyan Kararnamenin Tarihi... [Kaynak: 20013002 m.0],20013002 m.0,YONETMELIK,20013002 m.0,YURURLUKTE,true,false,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0050,yururluk_mulga_temporal_interpretation,1076 m.14 için yürürlük statüsünü tarihleriyle birlikte açıklar mısın?,"Dayanak 1076 m.14 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: UNKNOWN. Silah altına davet. Silah altına davet Madde 14 – (Değişik: 25/12/1967-976/1 md.) A) (Değişik: 22/5/2012 - 6318/24 md.) Seferde görev alacak yedek subay ve yedek askeri memurlara bu görevleri barışta tebliğ edilir. Tebliğ şekli,... [Kaynak: 1076 m.14]",1076 m.14,MULGA,1076 m.14,MULGA,false,true,false,REVISE,Bitiş tarihi eksik; 1076 sayılı Kanun 26/06/2019 tarihinde yürürlükten kalkmıştır.,Dayanak 1076 m.14 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: 2019-06-26. [Kaynak: 1076 m.14],GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0053,citation_heavy_exact_locator_long_article,837396 m.23 için exact citation ve locator bilgisiyle dayanağı gösterir misin?,"Exact citation 837396 m.23. Locator: law://837396/837396/837396 m.23. TUJJB Komisyon Üyelerinin Görevleri. TUJJB Komisyon Üyelerinin Görevleri Madde 23 – Komisyon Üyelerinin Görevleri Şunlardır: 1) Mensup bulundukları alanlardaki çalışmaların gelişmesini teşvik etmek, çalışmalara katılmak veya bu çalışmalara yardımda bulunmak, 2) TUJJB Komisyonlarının ilgili çalışma grubu toplantılarına iştirak etmek, 3) Çalışmalarıyla ilgili konularda TUJJB, ilgili organlarına bildiri vermek, teklif ve tavsiyelerde bulunmak, 4) Komisyonunca kendisine verilen, çalışma konularına ilişkin inceleme ve araştırma görevlerini belirlenen... [Kaynak: 837396 m.23]",837396 m.23,YONETMELIK,837396 m.23,YURURLUKTE,false,false,true,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0055,citation_heavy_exact_locator_long_article,635 m.33 için exact citation ve locator bilgisiyle dayanağı gösterir misin?,"Exact citation 635 m.33. Locator: law://635/635/635 m.33. Atıflar, değiştirilen ve yürürlükten kaldırılan hükümler. Atıflar, değiştirilen ve yürürlükten kaldırılan hükümler MADDE 33- (Mülga: 2/7/2018-KHK-703/26 md.) EK MADDE 1- (Ek:25/12/2024-7537/22 md.) (1) Sanayi ve Teknoloji Bakanlığının görev ve yetkileri şunlardır: a) İlgili mevzuatta yer alan görevleri yapmak. b) Sanayi ürünlerine yönelik Bakanlığın görev alanına giren idari ve teknik düzenlemeleri hazırlamak, Türk standartlarından gerekli görülenleri zorunlu uygulamaya koymak, bunların uygulanmasını sağlamak, gerektiğinde denetlemek veya denetletmek. c) Görev ve... [Kaynak: 635 m.33]",635 m.33,KHK,635 m.33,YURURLUKTE,false,true,false,REVISE,Cevap ilgili madde dışına taşmış; yalnız 635 m.33 verilmelidir.,"Exact citation 635 m.33. Locator: law://635/635/635 m.33. Atıflar, değiştirilen ve yürürlükten kaldırılan hükümler. MADDE 33- (Mülga: 2/7/2018-KHK-703/26 md.) [Kaynak: 635 m.33]",GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0059,excluded_source_unsupported_source_refusal,"1548 m.33 hakkında Yargıtay, Danıştay veya AYM içtihadındaki yorumları verir misin?","Bu soru bu fazin kapsam disinda kalan secondary-source veya case-law yorumunu istiyor. Mevcut Faz-2 hazirlik hattinda yalniz article-anchored primary-law dayanaklari desteklenir; ictihat, doktrin, uygulama ornegi veya mevzuat disi yorum veremem.",,CB_KARAR,1548 m.33,UNSUPPORTED_SOURCE_REFUSAL,false,true,false,REJECT,Soru içtihat değerlendirmesi istemesine rağmen cevap soruyu karşılamayan kapsam dışı bir ret cevabıdır.,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0070,source_local_direct_retrieval,20036688 m.16 için metinsel dayanağı kısa şekilde gösterir misin?,Dayanak 20036688 m.16 (CB_YONETMELIK). Uzman yardımcılığı süresi. Uzman yardımcılığı süresi MADDE 16 – (1) Uzman yardımcılığı süresi en az üç yıldır. [Kaynak: 20036688 m.16],20036688 m.16,CB_YONETMELIK,20036688 m.16,YURURLUKTE,false,false,true,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0099,cross_type_wrong_source_disambiguation,7023 m.0 atfı hangi mevzuat türüne aittir? Benzer numaralı başka belgelerle karıştırmadan türü ve kısa dayanağı göster.,Bu atif CB_YONETMELIK turundedir. Dayanak 7023 m.0. Diğer Bilgiler. 30/3/2023 TARİHLİ VE 7023 SAYILI CUMHURBAŞKANI KARARI İLE YÜRÜRLÜĞE KONULAN YÖNETMELİĞE EK VE DEĞİŞİKLİK GETİREN KARARLARIN YÜRÜRLÜĞE GİRİŞ TARİHLERİNİ GÖSTEREN TABLO Ek ve Değişiklik Getiren Kararı Yürürlüğe Koyan Cumhurbaşkanı Kararının 7023 Sayılı... [Kaynak: 7023 m.0],7023 m.0,CB_YONETMELIK,7023 m.0,YURURLUKTE,true,false,true,APPROVE,,,GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0107,yururluk_mulga_temporal_interpretation,15 m.0 maddesinin temporal durumunu ve geçerlilik aralığını belirtir misin?,Dayanak 15 m.0 (CB_GENELGE). Yururluk durumu: YURURLUKTE. Baslangic: 2022-09-14. Bitis: 9999-12-31. GENELGE Cumhurbaşkanlığından: Konu: 2026-2028 Dönemi Yatırım Programı Hazırlıkları GENELGE 2025/15 15 Eylül 2025 PAZARTESİ Resmî Gazete Sayı : 33018 (Mükerrer) 14 Eylül 2025 Recep Tayyip ERDOĞAN CUMHURBAŞKANI Ek:... [Kaynak: 15 m.0],15 m.0,CB_GENELGE,15 m.0,YURURLUKTE,false,true,false,REVISE,Başlangıç tarihi yanlış; 2025/15 sayılı Genelge 15/09/2025 tarihinde yayımlanmıştır.,Dayanak 15 m.0 (CB_GENELGE). Yururluk durumu: YURURLUKTE. Baslangic: 2025-09-15. Bitis: 9999-12-31. GENELGE 2025/15: 2026-2028 Dönemi Yatırım Programı Hazırlıkları. [Kaynak: 15 m.0],GPT-5.4 Pro,REQUIRED
MEVZUAT-FAZ-2B-BATCH-002,MEVZUAT-FAZ-2-0110,yururluk_mulga_temporal_interpretation,1076 m.15 maddesinin temporal durumunu ve geçerlilik aralığını belirtir misin?,Dayanak 1076 m.15 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: UNKNOWN. Hizmete çağrıldıkları halde gelmeyenler(1). Hizmete çağrıldıkları halde gelmeyenler(1) Madde 15 – (Değişik: 22/5/2012 - 6318/25 md.) Talim ve manevra için çağrıldıkları halde 1111 sayılı Kanunun 47 nci maddesine göre özürsüz gelmedikleri anlaşılanlar hakkında... [Kaynak: 1076 m.15],1076 m.15,MULGA,1076 m.15,MULGA,false,true,false,REVISE,Bitiş tarihi eksik; 1076 sayılı Kanun 26/06/2019 tarihinde yürürlükten kalkmıştır.,Dayanak 1076 m.15 (MULGA). Yururluk durumu: MULGA. Baslangic: 1927-07-09. Bitis: 2019-06-26. [Kaynak: 1076 m.15],GPT-5.4 Pro,REQUIRED
