batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name
1,297e66b4dd520e40,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:52:tpl:2,train_pending_review,,,,,TBK m.52 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.52] Başlık: 2. İndirilmesi / Zarar gören, zararı doğuran fiile razı olmuş veya
zararın doğmasında ya da artmasında etkili olmuş yahut tazminat yükümlüsünün durumunu ağırlaştırmış ise hâkim, tazminatı indirebilir veya tamamen kaldırabilir. Zarara hafif kusuruyla sebep olan tazminat yükümlüsü, tazminatı ödediğinde yoksulluğa düşecek olur ve hakkaniyet de gerektirirse hâkim, tazminatı indirebilir. IV. Özel durumlar","Madde metni şu kuralı içerir: ""zararın doğmasında ya da artmasında etkili olmuş yahut tazminat yükümlüsünün durumunu ağırlaştırmış ise hâkim, tazminatı indirebilir veya tamamen kaldırabilir."" [Kaynak: TBK m.52]",REVISE,,"Madde metni şu kuralı içerir: ""Zarar gören, zararı doğuran fiile razı olmuş veya zararın doğmasında ya da artmasında etkili olmuş yahut tazminat yükümlüsünün durumunu ağırlaştırmış ise hâkim, tazminatı indirebilir veya tamamen kaldırabilir. Zarara hafif kusuruyla sebep olan tazminat yükümlüsü, tazminatı ödediğinde yoksulluğa düşecek olur ve hakkaniyet de gerektirirse hâkim, tazminatı indirebilir."" [Kaynak: TBK m.52]",
2,2990b95c9d73caba,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:337:tpl:2,train_pending_review,,,,,TBK m.337 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.337] Başlık: II. Üçüncü kişilere ait / Üçüncü kişilerin, kiraya verenin kiracıya ait
olmadığını bildiği veya bilmesi gerektiği eşya ile çalınmış, kaybolmuş veya başka bir biçimde malikinin elinden iradesi dışında çıkmış eşya üzerindeki hakları, kiraya verenin hapis hakkından önce gelir. Kiraya veren, kiracı tarafından kiralanana getirilmiş olan taşınırların kiracının mülkiyetinde olmadığını kira sözleşmesi devam ederken öğrendiği hâlde, sözleşmeyi en yakın fesih döneminin sonu için feshetmezse, bu eşya üzerindeki hapis hakkını kaybeder.","Madde metni şu kuralı içerir: ""olmadığını bildiği veya bilmesi gerektiği eşya ile çalınmış, kaybolmuş veya başka bir biçimde malikinin elinden iradesi dışında çıkmış eşya üzerindeki hakları, kiraya verenin hapis hakkından önce gelir."" [Kaynak: TBK m.337]",REVISE,,"Madde metni şu kuralı içerir: ""Üçüncü kişilerin, kiraya verenin kiracıya ait olmadığını bildiği veya bilmesi gerektiği eşya ile çalınmış, kaybolmuş veya başka bir biçimde malikinin elinden iradesi dışında çıkmış eşya üzerindeki hakları, kiraya verenin hapis hakkından önce gelir. Kiraya veren, kiracı tarafından kiralanana getirilmiş olan taşınırların kiracının mülkiyetinde olmadığını kira sözleşmesi devam ederken öğrendiği hâlde, sözleşmeyi en yakın fesih döneminin sonu için feshetmezse, bu eşya üzerindeki hapis hakkını kaybeder."" [Kaynak: TBK m.337]",
3,29bf269fbbb29102,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:48:tpl:1,train_pending_review,,,,,TBK m.48'e göre temel kural nedir?,"[Kaynak: TBK m.48] Başlık: III. Saklı hükümler / Ortaklık temsilcileri ile organlarının ve ticari
vekillerin yetkisine ilişkin hükümler saklıdır. İKİNCİ AYIRIM Haksız Fiillerden Doğan Borç İlişkileri A. Sorumluluk","TBK m.48 metnine göre: ""vekillerin yetkisine ilişkin hükümler saklıdır. İKİNCİ AYIRIM Haksız Fiillerden Doğan Borç İlişkileri A."" [Kaynak: TBK m.48]",REVISE,,"TBK m.48 metnine göre: ""Ortaklık temsilcileri ile organlarının ve ticari vekillerin yetkisine ilişkin hükümler saklıdır."" [Kaynak: TBK m.48]",
4,29d8aeb7a0e6b135,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:479:tpl:3,train_pending_review,,,,,TBK m.479 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.479] Başlık: 1. Bedelin muacceliyeti / İşsahibinin bedel
ödeme borcu, eserin teslimi anında muaccel olur. Eserin parça parça teslim edilmesi kararlaştırılmış ve bedel parçalara göre belirlenmişse, her parçanın bedeli onun teslimi anında muaccel olur.","Özet: ""ödeme borcu, eserin teslimi anında muaccel olur. Eserin parça parça teslim edilmesi kararlaştırılmış ve bedel parçalara göre belirlenmişse, her parçanın bedeli onun teslimi anında muaccel olur."" [Kaynak: TBK m.479]",REVISE,,"Özet: ""İşsahibinin bedel ödeme borcu, eserin teslimi anında muaccel olur. Eserin parça parça teslim edilmesi kararlaştırılmış ve bedel parçalara göre belirlenmişse, her parçanın bedeli onun teslimi anında muaccel olur."" [Kaynak: TBK m.479]",
5,29e57e15d71fc0eb,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:15:tpl:2,train_pending_review,,,,,TBK m.15 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.15] Başlık: İmzanın, borç altına girenin el yazısıyla atılması
zorunludur. Güvenli elektronik imza da, el yazısıyla atılmış imzanın bütün hukuki sonuçlarını doğurur. İmzanın el yazısı dışında bir araçla atılması, ancak örf ve âdetçe kabul edilen durumlarda ve özellikle çok sayıda çıkarılan kıymetli evrakın imzalanmasında yeterli sayılır. (Değişik fıkra: 13/2/2011-6111/213 md.) Görme engellilerin talepleri halinde imzalarında şahit aranır. Aksi takdirde görme engellilerin imzalarını el yazısı ile atmaları yeterlidir. d. İmza yerine geçen işaretler","Madde metni şu kuralı içerir: ""zorunludur. Güvenli elektronik imza da, el yazısıyla atılmış imzanın bütün hukuki sonuçlarını doğurur."" [Kaynak: TBK m.15]",REVISE,,"Madde metni şu kuralı içerir: ""İmzanın, borç altına girenin el yazısıyla atılması zorunludur. Güvenli elektronik imza da, el yazısıyla atılmış imzanın bütün hukuki sonuçlarını doğurur. İmzanın el yazısı dışında bir araçla atılması, ancak örf ve âdetçe kabul edilen durumlarda ve özellikle çok sayıda çıkarılan kıymetli evrakın imzalanmasında yeterli sayılır. (Değişik fıkra: 13/2/2011-6111/213 md.) Görme engellilerin talepleri halinde imzalarında şahit aranır. Aksi takdirde görme engellilerin imzalarını el yazısı ile atmaları yeterlidir."" [Kaynak: TBK m.15]",
6,2a164ee8be981382,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:357:tpl:2,train_pending_review,,,,,TBK m.357 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.357] Başlık: A. Tanımı / Ürün kirası kiraya verenin, kiracıya, ürün veren bir
şeyin veya hakkın kullanılmasını ve ürünlerin devşirilmesini bedel karşılığında bırakmayı üstlendiği sözleşmedir. Ürüne katılmalı kira, kira bedelinin devşirilecek ürünün belli bir oranı olarak kararlaştırıldığı ürün kirasıdır. Bu oran sözleşmeyle kararlaştırılmamışsa, yerel âdete göre belirlenir.","Madde metni şu kuralı içerir: ""şeyin veya hakkın kullanılmasını ve ürünlerin devşirilmesini bedel karşılığında bırakmayı üstlendiği sözleşmedir."" [Kaynak: TBK m.357]",REVISE,,"Madde metni şu kuralı içerir: ""Ürün kirası kiraya verenin, kiracıya, ürün veren bir şeyin veya hakkın kullanılmasını ve ürünlerin devşirilmesini bedel karşılığında bırakmayı üstlendiği sözleşmedir. Ürüne katılmalı kira, kira bedelinin devşirilecek ürünün belli bir oranı olarak kararlaştırıldığı ürün kirasıdır. Bu oran sözleşmeyle kararlaştırılmamışsa, yerel âdete göre belirlenir."" [Kaynak: TBK m.357]",
7,2a1d585fd3f4240a,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:325:tpl:4,train_pending_review,,,,,TBK m.325 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.325] Başlık: 2. Kiralananın / Kiracı, sözleşme süresine veya fesih dönemine
uymaksızın kiralananı geri verdiği takdirde, kira sözleşmesinden doğan borçları, kiralananın benzer koşullarla kiraya verilebileceği makul bir süre için devam eder. Kiracının bu sürenin geçmesinden önce kiraya verenden kabul etmesi beklenebilecek, ödeme gücüne sahip ve kira ilişkisini devralmaya hazır yeni bir kiracı bulması hâlinde, kiracının kira sözleşmesinden doğan borçları sona erer. Kiraya veren, yapmaktan kurtulduğu giderler ile kiralananı başka biçimde kullanmakla elde ettiği veya elde etmekten kasten kaçındığı yararları kira bedelinden indirmekle yükümlüdür.","Doğrudan metin dayanağı: ""uymaksızın kiralananı geri verdiği takdirde, kira sözleşmesinden doğan borçları, kiralananın benzer koşullarla kiraya verilebileceği makul bir süre için devam eder."" [Kaynak: TBK m.325]",REVISE,,"Doğrudan metin dayanağı: ""Kiracı, sözleşme süresine veya fesih dönemine uymaksızın kiralananı geri verdiği takdirde, kira sözleşmesinden doğan borçları, kiralananın benzer koşullarla kiraya verilebileceği makul bir süre için devam eder. Kiracının bu sürenin geçmesinden önce kiraya verenden kabul etmesi beklenebilecek, ödeme gücüne sahip ve kira ilişkisini devralmaya hazır yeni bir kiracı bulması hâlinde, kiracının kira sözleşmesinden doğan borçları sona erer. Kiraya veren, yapmaktan kurtulduğu giderler ile kiralananı başka biçimde kullanmakla elde ettiği veya elde etmekten kasten kaçındığı yararları kira bedelinden indirmekle yükümlüdür."" [Kaynak: TBK m.325]",
8,2a1e65377e493b68,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:601:tpl:4,train_pending_review,,,,,TBK m.601 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.601] Başlık: IV. Süreli olmayan kefalette / Süreli olmayan kefalette kefil, asıl borç muaccel
olunca, adi kefalette her zaman ve müteselsil kefalette ise, kanunun öngördüğü hâllerde, alacaklıdan, bir ay içinde borçluya karşı dava ve takip haklarını kullanmasını, varsa rehnin paraya çevrilmesi yoluyla takibe geçmesini ve ara vermeden takibe devam etmesini isteyebilir. Borç, alacaklının borçluya yapacağı bildirim sonucunda muaccel olacaksa kefil, kefalet sözleşmesinin kurulduğu tarihten bir yıl sonra alacaklıdan, bu bildirimi yapmasını ve borç bu suretle muaccel olunca, yukarıdaki fıkra hükümleri uyarınca takip ve dava haklarını kullanmasını isteyebilir. Alacaklı, kefilin bu istemlerini yerine getirmezse, kefil borcundan kurtulur.","Doğrudan metin dayanağı: ""olunca, adi kefalette her zaman ve müteselsil kefalette ise, kanunun öngördüğü hâllerde, alacaklıdan, bir ay içinde borçluya karşı dava ve takip haklarını kullanmasını, varsa rehnin paraya çevrilmesi yoluyla takibe geçmesini ve ara vermeden takibe devam etmesini isteyebilir."" [Kaynak: TBK m.601]",REVISE,,"Doğrudan metin dayanağı: ""Süreli olmayan kefalette kefil, asıl borç muaccel olunca, adi kefalette her zaman ve müteselsil kefalette ise, kanunun öngördüğü hâllerde, alacaklıdan, bir ay içinde borçluya karşı dava ve takip haklarını kullanmasını, varsa rehnin paraya çevrilmesi yoluyla takibe geçmesini ve ara vermeden takibe devam etmesini isteyebilir. Borç, alacaklının borçluya yapacağı bildirim sonucunda muaccel olacaksa kefil, kefalet sözleşmesinin kurulduğu tarihten bir yıl sonra alacaklıdan, bu bildirimi yapmasını ve borç bu suretle muaccel olunca, yukarıdaki fıkra hükümleri uyarınca takip ve dava haklarını kullanmasını isteyebilir. Alacaklı, kefilin bu istemlerini yerine getirmezse, kefil borcundan kurtulur."" [Kaynak: TBK m.601]",
9,2a37f31d68363a17,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:231:tpl:3,train_pending_review,,,,,TBK m.231 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.231] Başlık: 9. Zamanaşımı / Satıcı daha uzun bir süre için üstlenmiş olmadıkça,
satılanın ayıbından doğan sorumluluğa ilişkin her türlü dava, satılandaki ayıp daha sonra ortaya çıksa bile, satılanın alıcıya devrinden başlayarak iki yıl geçmekle zamanaşımına uğrar. Alıcının satılanın kendisine devrinden başlayarak iki yıl içinde bildirdiği ayıptan doğan def’i hakkı, bu sürenin geçmiş olmasıyla ortadan kalkmaz. Satıcı, satılanı ayıplı olarak devretmekte ağır kusurlu ise, iki yıllık zamanaşımı süresinden yararlanamaz. C. Alıcının borçları","Özet: ""satılanın ayıbından doğan sorumluluğa ilişkin her türlü dava, satılandaki ayıp daha sonra ortaya çıksa bile, satılanın alıcıya devrinden başlayarak iki yıl geçmekle zamanaşımına uğrar."" [Kaynak: TBK m.231]",REVISE,,"Özet: ""Satıcı daha uzun bir süre için üstlenmiş olmadıkça, satılanın ayıbından doğan sorumluluğa ilişkin her türlü dava, satılandaki ayıp daha sonra ortaya çıksa bile, satılanın alıcıya devrinden başlayarak iki yıl geçmekle zamanaşımına uğrar. Alıcının satılanın kendisine devrinden başlayarak iki yıl içinde bildirdiği ayıptan doğan def’i hakkı, bu sürenin geçmiş olmasıyla ortadan kalkmaz. Satıcı, satılanı ayıplı olarak devretmekte ağır kusurlu ise, iki yıllık zamanaşımı süresinden yararlanamaz."" [Kaynak: TBK m.231]",
10,2a4550df9a92dceb,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:186:tpl:3,train_pending_review,,,,,TBK m.186 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.186] Başlık: 1. İyiniyetle yapılan / Borçlu, alacağın devredildiği, devreden veya devralan
tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur.","Özet: ""tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",REVISE,,"Özet: ""Borçlu, alacağın devredildiği, devreden veya devralan tarafından kendisine bildirilmemişse, önceki alacaklıya; alacak birkaç kez devredilmişse, son devralan yerine önceki devralanlardan birine iyiniyetle ifada bulunarak borcundan kurtulur."" [Kaynak: TBK m.186]",
