batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name
1,8b68ca77ec422ef6,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_20260308_042436.json,TBK-019,train_pending_review,True,False,False,1215.7,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,[Kaynak: BELİRTİLMEMİŞ] Eval raporunda kaynak metni bulunmuyor.,Verilen kaynak metninde Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi ile ilgili herhangi bir bilgi yer almamaktadır. Bu nedenle bu soruyu kaynaklara dayanarak yanıtlayamıyorum.,,,,
2,8c2175bb8b735891,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_20260308_080601.json,TBK-019,train_pending_review,True,False,False,3743.4,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,[Kaynak: BELİRTİLMEMİŞ] Eval raporunda kaynak metni bulunmuyor.,"Verilen kaynak metinlerde Türk Ticaret Kanunu'na (TTK) veya anonim şirket kuruluş asgari sermayesine ilişkin herhangi bir bilgi bulunmamaktadır.

Sağlanan metinler sadece Türk Borçlar Kanunu (TBK) maddelerini (m.635, m.401, m.626, m.118, m.553, m.112, m.454, m.526, m.256, m.620) içermektedir. Bu nedenle, anonim şirket kuruluş asgari sermayesi hakkında sorunuzun yanıtını kaynak metinlere dayanarak veremem.

Emin değilim veya kaynaklar yetersizdir.",,,,
3,c35c28071854dee0,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_20260308_edgecase_recovery_final.json,TBK-019,train_pending_review,True,False,False,3698.8,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,[Kaynak: BELİRTİLMEMİŞ] Eval raporunda kaynak metni bulunmuyor.,"Verilen kaynak metinlerde Türk Ticaret Kanunu'na (TTK) veya anonim şirketlerin kuruluş asgari sermayesine dair herhangi bir bilgi bulunmamaktadır. Kaynaklar ağırlıklı olarak Türk Borçlar Kanunu (TBK) maddelerini (satış, vekâlet, ticari temsilcilik, ortaklık, ücret vb.) içermektedir.

Bu nedenle, ""Anonim şirket kuruluş asgari sermayesi"" konusu şu anki TBK kapsamım dışındadır veya kaynaklarda bulunmamaktadır.",,,,
4,e34b0d70942ed0de,TBK-019,easy,out_of_scope,evaluation/reports/eval_live_20260308_reindex.json,TBK-019,train_pending_review,True,False,True,7537.7,Türk Ticaret Kanunu'na göre anonim şirket kuruluş asgari sermayesi nedir?,"[Kaynak: TBK m.635] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.401] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.626] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.118] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.553] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.112] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.454] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.526] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.256] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.620] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlerde Türk Ticaret Kanunu'na (TTK) veya anonim şirket kuruluş asgari sermayesine ilişkin herhangi bir bilgi bulunmamaktadır.

Sağlanan kaynaklar sadece Türk Borçlar Kanunu (TBK) maddelerini içermektedir:
*   [Kaynak: TBK m.635] Adi ortaklıkta ortaklığın sona ermesi ve borçların paylaşımı.
*   [Kaynak: TBK m.401] İşçiye ödenecek ücret.
*   [Kaynak: TBK m.626] Adi ortaklıkta rekabet yasağı.
*   [Kaynak: TBK m.118] Temerrüt ve sorumluluk.
*   [Kaynak: TBK m.553] Ticari temsilcilerde rekabet yasağı.
*   [Kaynak: TBK m.112] Borcun ifa edilmemesi ve sorumluluk.
*   [Kaynak: TBK m.454] Pazarlamacıya ödenecek ücret.
*   [Kaynak: TBK m.526] Vekâletsiz iş görme.
*   [Kaynak: TBK m.256] Taşınmaz satışında ödeme şekilleri.
*   [Kaynak: TBK m.620] Adi ortaklık sözleşmesinin tanımı.

Bu nedenle, anonim şirket kuruluş asgari sermayesi hakkında sorunuzun cevabını kaynak metinlere dayanarak veremem.",,,,
5,84de04418eefdcfd,TBK-005,easy,tbk_genel,evaluation/reports/eval_live_20260308_042436.json,TBK-005,train_pending_review,False,False,False,1762.4,Faiz oranı sözleşmede belirlenmemişse TBK'ya göre hangi faiz oranı uygulanır?,[Beklenen Kaynak: TBK m.88] (eval artefaktı metadata alanı),"Verilen kaynak metninde faiz oranının sözleşmede belirlenmemesi durumunda uygulanacak oranla ilgili herhangi bir bilgi yer almamaktadır. Bu nedenle, Türk Borçlar Kanunu'na (TBK) göre hangi faiz oranının uygulanacağı konusunda kaynak dışı bilgi üretmekten kaçınarak, bu konuda emin olmadığımı belirtmek zorundayım.",,,,
6,2c2fe40e5d70e7dd,TBK-005,easy,tbk_genel,evaluation/reports/eval_live_20260308_edgecase_recovery_final.json,TBK-005,train_pending_review,False,False,True,11831.7,Faiz oranı sözleşmede belirlenmemişse TBK'ya göre hangi faiz oranı uygulanır?,"[Kaynak: TBK m.88] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.120] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.388] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.387] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlerine dayanarak, sözleşmede faiz oranı kararlaştırılmamışsa uygulanacak oranlar borcun türüne göre aşağıdaki gibidir:

1.  **Genel Faiz Borcu (TBK m.88):** Faiz ödeme borcunda sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık faiz oranı uygulanır [Kaynak: TBK m.88].
2.  **Temerrüt Faizi (TBK m.120):** Uygulanacak yıllık temerrüt faizi oranı, sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenir [Kaynak: TBK m.120].
3.  **Tüketim Ödünç Sözleşmeleri (TBK m.388):** Tüketim ödüncü sözleşmesinde faiz oranı belirlenmemişse, kural olarak ödünç alma zamanında ve yerinde o tür ödünçlerde geçerli olan faiz oranı uygulanır [Kaynak: TBK m.388].
4.  **Ticari Olmayan Tüketim Ödünç Sözleşmeleri (TBK m.387):** Ticari olmayan tüketim ödüncü sözleşmesinde taraflarca kararlaştırılmamışsa faiz istenemez [Kaynak: TBK m.387].

Ayrıca, sözleşmede akdî faiz oranı kararlaştırılmakla birlikte temerrüt faizi kararlaştırılmamışsa ve yıllık akdî faiz oranı, mevzuata göre belirlenen faiz oranından fazla ise, temerrüt faizi oranı hakkında akdî faiz oranı geçerli olur [Kaynak: TBK m.120].",,,,
7,685aa8e62e857d80,TBK-005,easy,tbk_genel,evaluation/reports/eval_live_20260308_reindex.json,TBK-005,train_pending_review,False,False,True,8415.7,Faiz oranı sözleşmede belirlenmemişse TBK'ya göre hangi faiz oranı uygulanır?,"[Kaynak: TBK m.88] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.387] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.388] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.120] (atıf etiketi; tam kaynak metni eval raporunda yok)","Verilen kaynak metinlere dayanarak, faiz oranının sözleşmede belirlenmemesi durumunda uygulanacak oranlar borcun türüne göre aşağıdaki gibidir:

1.  **Genel Faiz Borçları (TBK m.88):** Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık faiz oranı uygulanır [Kaynak: TBK m.88].
2.  **Ticari Olmayan Tüketim Ödünç Sözleşmeleri:** Taraflarca kararlaştırılmamışsa faiz istenemez [Kaynak: TBK m.387].
3.  **Ticari Tüketim Ödünç Sözleşmeleri:** Taraflarca kararlaştırılmamış olsa bile faiz istenebilir; ancak oran belirlenmemişse, kural olarak ödünç alma zamanında ve yerinde o tür ödünçlerde geçerli olan faiz oranı uygulanır [Kaynak: TBK m.388].
4.  **Temerrüt Faizi:** Sözleşmede kararlaştırılmamışsa, faiz borcunun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen yıllık faiz oranı uygulanır [Kaynak: TBK m.120].

Özetle, genel kural olarak sözleşmede oran belirtilmemişse, borcun doğduğu tarihte yürürlükte olan mevzuat hükümlerine göre belirlenen oran esas alınır; ancak ticari olmayan tüketim ödüncü sözleşmelerinde taraflar faiz kararlaştırmamışsa faiz istenemez.",,,,
8,bdac5746fcf4aa72,TBK-009,easy,tbk_genel,evaluation/reports/eval_live_20260308_042436.json,TBK-009,train_pending_review,False,False,False,2157.3,TBK'ya göre genel zamanaşımı süresi kaç yıldır ve bu süre hangi tarihten itibaren işlemeye başlar?,"[Beklenen Kaynak: TBK m.146] (eval artefaktı metadata alanı)
[Beklenen Kaynak: TBK m.149] (eval artefaktı metadata alanı)","Verilen kaynak metninde TBK'ya (Türk Borçlar Kanunu) göre genel zamanaşımı süresinin kaç yıl olduğu ve bu sürenin hangi tarihten itibaren işlemeye başladığına dair **herhangi bir bilgi yer almamaktadır**.

Bu nedenle, sorunuzun cevabını sadece verilen kaynaklar çerçevesinde belirtemem. Kaynak dışı bilgi üretmediğim için bu konuda bir yanıt veremem.",,,,
9,a1b7efb491b1c1a2,TBK-009,easy,tbk_genel,evaluation/reports/eval_live_20260308_080601.json,TBK-009,train_pending_review,False,False,True,7566.0,TBK'ya göre genel zamanaşımı süresi kaç yıldır ve bu süre hangi tarihten itibaren işlemeye başlar?,"[Kaynak: TBK m.146] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.149] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.151] (atıf etiketi; tam kaynak metni eval raporunda yok)
[Kaynak: TBK m.148] (atıf etiketi; tam kaynak metni eval raporunda yok)","Türk Borçlar Kanunu'na (TBK) göre genel zamanaşımı süresi ve başlangıç tarihi ile ilgili bilgiler kaynak metinlerde şu şekildedir:

**Genel Zamanaşımı Süresi:**
Kanunda aksine bir hüküm bulunmadıkça, her alacak **on yıllık** zamanaşımına tabidir [Kaynak: TBK m.146].

**Zamanaşımının Başlangıcı:**
Genel olarak zamanaşımı, alacağın **muaccel olmasıyla** işlemeye başlar [Kaynak: TBK m.149].
*   Alacağın muaccel olmasının bir bildirime bağlı olduğu hâllerde ise zamanaşımı, bu bildirimin **yapılabileceği günden** işlemeye başlar [Kaynak: TBK m.149].
*   Süreler hesaplanırken zamanaşımının başladığı gün sayılmaz ve zamanaşımı ancak sürenin son günü de hak kullanılmaksızın geçince gerçekleşmiş olur [Kaynak: TBK m.151].

*Not: Kaynak metinlerde belirtilen on yıllık süre, sözleşmeyle değiştirilemez (kesinlik ilkesi) [Kaynak: TBK m.148].*",,,,
10,b3e4f8dd14558f28,TBK-009,easy,tbk_genel,evaluation/reports/eval_live_20260308_edgecase_recovery_final.json,TBK-009,train_pending_review,False,False,False,6322.5,TBK'ya göre genel zamanaşımı süresi kaç yıldır ve bu süre hangi tarihten itibaren işlemeye başlar?,"[Beklenen Kaynak: TBK m.146] (eval artefaktı metadata alanı)
[Beklenen Kaynak: TBK m.149] (eval artefaktı metadata alanı)","Türk Borçlar Kanunu (TBK) hükümlerine göre genel zamanaşımı süresi ve başlangıç tarihi aşağıdadır:

**Genel Zamanaşımı Süresi:**
Kanunda aksine bir hüküm bulunmadıkça, her alacak **on yıllık** zamanaşımına tabidir. Bu süre, TBK m.146'da belirtilen genel kuraldır.

**Zamanaşımının Başlangıcı:**
Zamanaşımı, alacağın **muaccel olmasıyla** işlemeye başlar. Eğer alacağın muaccel olmasının bir bildirime bağlı olduğu hâllerde ise, zamanaşımı bu bildirimin yapılabileceği günden itibaren işlemeye başlar. Bu hüküm TBK m.149'da düzenlenmiştir.

Ayrıca, zamanaşımı sürelerinin hesaplanmasında zamanaşımının başladığı gün sayılmaz ve süre, son gününde hak kullanılmaksızın geçince gerçekleşmiş olur (TBK m.151).",,,,
