batch_id,row_id,question,model_answer,source_citation,expected_source_type,expected_display_citation,expected_yururluk_state,cross_type_disambiguation,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name,second_reviewer_name
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0001,1581 m.23 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1581 m.23 (KANUN). Yürürlüğe girme:. Yürürlüğe girme: Madde 23 – Bu kanun yayımı tarihinden itibaren yürürlüğe girer. [Kaynak: 1581 m.23],1581 m.23,KANUN,1581 m.23,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0002,178 m.15 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 178 m.15 (KANUN). Gümrük Muhafaza Genel Müdürlüğü:. Gümrük Muhafaza Genel Müdürlüğü: Madde 15 – (Mülga: 2/7/1993 - KHK - 484/11 md.) [Kaynak: 178 m.15],178 m.15,KANUN,178 m.15,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0003,2872 m.17 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 2872 m.17 (KANUN). Fonun kurulması ve fondan yararlanma:. Fonun kurulması ve fondan yararlanma: Madde 17 – (Mülga: 21/2/2001 - 4629/6 md.) [Kaynak: 2872 m.17],2872 m.17,KANUN,2872 m.17,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0004,1 m.235 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1 m.235 (CB_KARARNAME). Bilgi İşlem Dairesi Başkanlığı. Bilgi İşlem Dairesi Başkanlığı MADDE 235– (Mülga:RG-7/8/2019-30855-CK-43/19 md.) [Kaynak: 1 m.235],1 m.235,CB_KARARNAME,1 m.235,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0005,1 m.297 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1 m.297 (CB_KARARNAME). Yurtdışı teşkilatı. Yurtdışı teşkilatı MADDE 297 -(1) Bakanlık yurtdışı teşkilatı kurmaya yetkilidir. [Kaynak: 1 m.297],1 m.297,CB_KARARNAME,1 m.297,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0006,1 m.60 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1 m.60 (CB_KARARNAME). Hakim ve Savcı Eğitim Merkezi. Hakim ve Savcı Eğitim Merkezi MADDE 60 – (Mülga:RG-2/5/2019-30762-C.K.-34/16 md.) [Kaynak: 1 m.60],1 m.60,CB_KARARNAME,1 m.60,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0007,717694 m.10 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,"Dayanak 717694 m.10 (YONETMELIK). Madde No: 10. Madde 10 – Bu Yönetmeliği İçişleri, Gümrük ve Tekel, Ulaştırma Bakanları yürütür. [Kaynak: 717694 m.10]",717694 m.10,YONETMELIK,717694 m.10,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0008,84387 m.56 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,"Dayanak 84387 m.56 (YONETMELIK). Madde No: 56. Madde 56 – Mozole ve Müzeyi ziyaret edenler, dolaylı gözetim altında bulundurulur. [Kaynak: 84387 m.56]",84387 m.56,YONETMELIK,84387 m.56,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0009,946101 m.25 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 946101 m.25 (YONETMELIK). Yürütme. Yürütme Madde 25 – Bu Yönetmelik hükümlerini Sanayi ve Ticaret Bakanlığı yürütür. [Kaynak: 946101 m.25],946101 m.25,YONETMELIK,946101 m.25,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
MEVZUAT-FAZ-2-BATCH-001,MEVZUAT-FAZ-2-0010,1134 m.47 hangi hükmü düzenler? Kısa ve doğrudan cevap ver.,Dayanak 1134 m.47 (CB_YONETMELIK). Yürütme. Yürütme MADDE 47- (1) Bu Yönetmelik hükümlerini Kültür ve Turizm Bakanı yürütür. [Kaynak: 1134 m.47],1134 m.47,CB_YONETMELIK,1134 m.47,YURURLUKTE,false,APPROVE,,,GPT-5.4 Pro,
