q_id,difficulty,primary_type,secondary_types,task_type,reference_date,question,expected_deliverable,source_hint_urls
KANUN-01,4,KANUN,YONETMELIK,scenario_applicability,2026-04-19,"42 çalışanlı bir işyerinde 8 aylık kıdemi bulunan, belirsiz süreli sözleşmeyle çalışan bir personel performans gerekçesiyle yazılı olarak işten çıkarılıyor. Bu çalışan işe iade yoluna gidebilir mi? Zorunlu ön usul ve temel süreleri de belirt.",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-02,4,KANUN,YONETMELIK,exception_analysis,2026-04-19,Ofis çalışanı bir işçi yıl içinde toplam 290 saat fazla çalıştırılmış ve yazılı onayı yalnızca işe giriş evrakında genel bir form olarak alınmış. Uygulanacak mevzuat zincirini ve kritik hukuki sorunları çıkar.,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-03,5,KANUN,YONETMELIK,hierarchy_conflict,2026-04-19,Bir üretim işletmesi ana üretim hattındaki işi başka bir şirkete veriyor; aynı işçiler fiilen aynı yerde çalışmaya devam ediyor. Bunun gerçek alt işverenlik mi yoksa muvazaalı bir ilişki mi olduğunu hangi ölçütlerle analiz edersin?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-04,5,KANUN,YONETMELIK|CB_GENELGE,compliance_checklist,2026-04-19,Bir fabrika giriş-çıkış ve yemekhane kontrolü için parmak izi sistemi kurmak istiyor. Sadece 'işyeri güvenliği' gerekçesiyle hareket etmesi yeterli mi? Hangi mevzuat başlıklarını ve hangi asgari unsurları kontrol etmek gerekir?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-05,5,KANUN,,temporal_validity,2026-04-19,"Bir Türk şirketi 2026 yılında çalışan verilerini AB'deki grup şirketine aktarmak istiyor. Cevabı eski KVKK yurt dışı aktarım rejimine göre mi, yoksa güncel rejime göre mi kurmalısın? Hangi belge zinciri gerekir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-06,4,KANUN,,precise_retrieval,2026-04-19,Bir limited şirket pay devrinde yalnızca noterde düzenlenmiş yazılı sözleşme yeterli midir? Şirket onayı ve tescil/ilan bakımından hangi kanuni çerçeve uygulanır?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-07,4,KANUN,YONETMELIK|TEBLIGLER,document_selection,2026-04-19,"Bir anonim şirket yönetim kurulu üyesi toplantıya fiziken gelmeden elektronik ortamdan katılmak istiyor. Yalnızca TTK yeterli mi, yoksa ikincil düzenleme zinciri de gerekli mi?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-08,4,KANUN,YONETMELIK,exception_analysis,2026-04-19,İnternetten kişiye özel ölçüye göre üretilen bir mobilya satılmış. Tüketici 14 gün içinde cayma hakkını kullanmak istiyor. Hangi normlar birlikte okunmalı ve 'kişiye özel üretim' istisnası nasıl test edilmeli?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-09,4,KANUN,,temporal_validity,2026-04-19,Ağustos 2026'da yenilenen bir konut kira sözleşmesinde kira artış oranı belirlenirken hâlâ %25 sınırı mı uygulanır? Güncel cevabı hangi kanun hükmü üzerinden kurarsın?,Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
KANUN-10,4,KANUN,,precise_retrieval,2026-04-19,"6183 kapsamında gönderilen bir ödeme emrine karşı borçlu hangi mahkemede, ne kadar sürede ve hangi sınırlı sebeplerle dava açabilir?",Kısa sonuç + gerekçe + dayanak belge zinciri + gerekiyorsa yürürlük/güncellik notu,https://www.mevzuat.gov.tr/ | https://www.resmigazete.gov.tr/
