batch_item_no,candidate_id,question_id,difficulty,category,source_file,source_record_id,split,refusal_expected,is_hallucination,has_citation,response_time_ms,question,context,generated_answer,lawyer_decision,lawyer_comment,corrected_answer,reviewer_name
1,4964f3c301e2f0c3,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:255:tpl:4,train_pending_review,,,,,TBK m.255 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.255] Başlık: 3. Sözleşmenin hüküm ve / Taksitle satış sözleşmesi, alıcı bakımından, taraflarca
imzalanmış sözleşmenin bir nüshasının eline geçmesinden yedi gün sonra hüküm ve sonuçlarını doğurur. Alıcı, bu süre içinde irade açıklamasını geri aldığını satıcıya yazılı olarak bildirebilir. Bu haktan önceden feragat edilemez. Geri alma bildiriminin sürenin son gününde postaya verilmiş olması, sonuç doğurması için yeterlidir. Satıcı geri alma süresi içinde malı alıcıya devretmişse alıcı, malı ancak olağan bir gözden geçirmenin gerektirdiği ölçüde kullanabilir; aksi takdirde sözleşme hüküm ve sonuçlarını doğurmuş olur. Alıcının geri alma hakkını kullanması hâlinde, kendisinden cayma parası istenemez. 4. Tarafların hak ve borçları a. Peşinatı ödeme borcu ve sözleşmenin süresi","Doğrudan metin dayanağı: ""imzalanmış sözleşmenin bir nüshasının eline geçmesinden yedi gün sonra hüküm ve sonuçlarını doğurur."" [Kaynak: TBK m.255]",REVISE,,"Doğrudan metin dayanağı: ""Taksitle satış sözleşmesi, alıcı bakımından, taraflarca imzalanmış sözleşmenin bir nüshasının eline geçmesinden yedi gün sonra hüküm ve sonuçlarını doğurur. Alıcı, bu süre içinde irade açıklamasını geri aldığını satıcıya yazılı olarak bildirebilir. Bu haktan önceden feragat edilemez. Geri alma bildiriminin sürenin son gününde postaya verilmiş olması, sonuç doğurması için yeterlidir. Satıcı geri alma süresi içinde malı alıcıya devretmişse alıcı, malı ancak olağan bir gözden geçirmenin gerektirdiği ölçüde kullanabilir; aksi takdirde sözleşme hüküm ve sonuçlarını doğurmuş olur. Alıcının geri alma hakkını kullanması hâlinde, kendisinden cayma parası istenemez."" [Kaynak: TBK m.255]",
2,496fed48ab312311,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:620:tpl:1,train_pending_review,,,,,TBK m.620'e göre temel kural nedir?,"[Kaynak: TBK m.620] Başlık: A. Tanımı / Adi ortaklık sözleşmesi, iki ya da daha fazla kişinin
emeklerini ve mallarını ortak bir amaca erişmek üzere birleştirmeyi üstlendikleri sözleşmedir. Bir ortaklık, kanunla düzenlenmiş ortaklıkların ayırt edici niteliklerini taşımıyorsa, bu bölüm hükümlerine tabi adi ortaklık sayılır. B. Ortaklar arasındaki ilişki","TBK m.620 metnine göre: ""emeklerini ve mallarını ortak bir amaca erişmek üzere birleştirmeyi üstlendikleri sözleşmedir."" [Kaynak: TBK m.620]",REVISE,,"TBK m.620 metnine göre: ""Adi ortaklık sözleşmesi, iki ya da daha fazla kişinin emeklerini ve mallarını ortak bir amaca erişmek üzere birleştirmeyi üstlendikleri sözleşmedir. Bir ortaklık, kanunla düzenlenmiş ortaklıkların ayırt edici niteliklerini taşımıyorsa, bu bölüm hükümlerine tabi adi ortaklık sayılır."" [Kaynak: TBK m.620]",
3,4970d73da99825a5,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:489:tpl:4,train_pending_review,,,,,TBK m.489 metninden doğrudan dayanakla cevap ver: bu maddede hangi ilke yazılıdır?,"[Kaynak: TBK m.489] Başlık: I. Yayımlatma hakkının / Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin
ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır.","Doğrudan metin dayanağı: ""ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur."" [Kaynak: TBK m.489]",REVISE,,"Doğrudan metin dayanağı: ""Yayım sözleşmesiyle eser sahibinin hakları, sözleşmenin ifasının gerektirdiği ölçüde ve süreyle yayımcıya geçer. Yayımlatan, yayımcıya karşı, sözleşmenin kurulduğu anda eseri yayımlatma hakkının bulunmamasından sorumlu olduğu gibi, eser korunmakta ise, telif hakkının olmamasından da sorumludur. Eserin tamamı veya bir bölümü yayımlanmak üzere başka bir yayımcıya bırakılmış ya da yayımlatanın bilgisi altında yayımlanmış ise yayımlatan, yayım sözleşmesinin yapılmasından önce, bunu karşı tarafa bildirmek zorundadır."" [Kaynak: TBK m.489]",
4,49c225587848736a,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:460:tpl:1,train_pending_review,,,,,TBK m.460'e göre temel kural nedir?,"[Kaynak: TBK m.460] Başlık: II. Özel sonuçlar / Sözleşmenin sona ermesi hâlinde, pazarlamacının bizzat
yaptığı veya yapılmasına aracılık ettiği bütün işlemler ile kabul ve yerine getirme zamanına bakılmaksızın, sözleşmenin sona ermesine kadar işverene iletilen bütün siparişler için komisyon ödenir. Sözleşmenin sona ermesi hâlinde pazarlamacı, pazarlamacılık faaliyetinde bulunması için kendisine verilen örnek ve modelleri, fiyat tarifelerini, müşterilerle ilgili kayıtları ve diğer belgeleri işverene geri vermekle yükümlüdür. Ancak, pazarlamacının hapis hakkı saklıdır. ÜÇÜNCÜ AYIRIM Evde Hizmet Sözleşmesi A. Tanımı ve çalışma koşulları","TBK m.460 metnine göre: ""yaptığı veya yapılmasına aracılık ettiği bütün işlemler ile kabul ve yerine getirme zamanına bakılmaksızın, sözleşmenin sona ermesine kadar işverene iletilen bütün siparişler için komisyon ödenir."" [Kaynak: TBK m.460]",REVISE,,"TBK m.460 metnine göre: ""Sözleşmenin sona ermesi hâlinde, pazarlamacının bizzat yaptığı veya yapılmasına aracılık ettiği bütün işlemler ile kabul ve yerine getirme zamanına bakılmaksızın, sözleşmenin sona ermesine kadar işverene iletilen bütün siparişler için komisyon ödenir. Sözleşmenin sona ermesi hâlinde pazarlamacı, pazarlamacılık faaliyetinde bulunması için kendisine verilen örnek ve modelleri, fiyat tarifelerini, müşterilerle ilgili kayıtları ve diğer belgeleri işverene geri vermekle yükümlüdür. Ancak, pazarlamacının hapis hakkı saklıdır."" [Kaynak: TBK m.460]",
5,49e15d33e851c491,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:259:tpl:2,train_pending_review,,,,,TBK m.259 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.259] Başlık: 5. Alıcının temerrüdü / Alıcı peşinatı ödemede temerrüde düşerse satıcı, sadece
peşinatı isteyebilir veya sözleşmeden dönebilir. Alıcı taksitleri ödemede temerrüde düşerse satıcı, muaccel olmuş taksitlerin veya geri kalan satış bedelinin tamamının bir defada ödenmesini isteyebilir ya da sözleşmeden dönebilir. Satıcının geri kalan satış bedelinin tamamını isteyebilmesi veya sözleşmeden dönebilmesi, ancak bu hakkı açık biçimde saklı tutmuş olmasına ve alıcının kararlaştırılan satış bedelinin en az onda birini oluşturan ve birbirini izleyen en az iki taksidi veya en az dörtte birini oluşturan bir taksidi ya da en son taksidi ödemede temerrüde düşmüş olmasına bağlıdır. Ancak, satıcının dönme dolayısıyla isteyebileceği miktar, ödenmiş olan taksitler tutarına eşit veya daha fazla ise satıcı sözleşmeden dönemez. Satıcı, satış bedelinin geri kalan kısmının tamamen ödenmesini isteme veya sözleşmeden dönme haklarını kullanmadan önce, alıcıya en az onbeş günlük bir süre tanımak zorundadır. b. Sözleşmeden dönme","Madde metni şu kuralı içerir: ""peşinatı isteyebilir veya sözleşmeden dönebilir. Alıcı taksitleri ödemede temerrüde düşerse satıcı, muaccel olmuş taksitlerin veya geri kalan satış bedelinin tamamının bir defada ödenmesini isteyebilir ya da sözleşmeden dönebilir."" [Kaynak: TBK m.259]",REVISE,,"Madde metni şu kuralı içerir: Alıcı peşinatı ödemede temerrüde düşerse satıcı, sadece peşinatı isteyebilir veya sözleşmeden dönebilir. Alıcı taksitleri ödemede temerrüde düşerse satıcı, muaccel olmuş taksitlerin veya geri kalan satış bedelinin tamamının bir defada ödenmesini isteyebilir ya da sözleşmeden dönebilir. Satıcının geri kalan satış bedelinin tamamını isteyebilmesi veya sözleşmeden dönebilmesi, ancak bu hakkı açık biçimde saklı tutmuş olmasına ve alıcının kararlaştırılan satış bedelinin en az onda birini oluşturan ve birbirini izleyen en az iki taksidi veya en az dörtte birini oluşturan bir taksidi ya da en son taksidi ödemede temerrüde düşmüş olmasına bağlıdır. Ancak, satıcının dönme dolayısıyla isteyebileceği miktar, ödenmiş olan taksitler tutarına eşit veya daha fazla ise satıcı sözleşmeden dönemez. Satıcı, satış bedelinin geri kalan kısmının tamamen ödenmesini isteme veya sözleşmeden dönme haklarını kullanmadan önce, alıcıya en az onbeş günlük bir süre tanımak zorundadır. [Kaynak: TBK m.259]",
6,4a03bf94c316f5b9,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:443:tpl:1,train_pending_review,,,,,TBK m.443'e göre temel kural nedir?,"[Kaynak: TBK m.443] Başlık: 2. Geri verme / Sözleşmenin sona ermesi durumunda, taraflardan her
biri, diğerinden veya üçüncü bir kişiden diğerinin hesabına, hizmetle ilişkili olarak almış olduğu şeyleri geri vermekle yükümlüdür. İşçi, özellikle motorlu taşıtları ve trafik izin belgelerini, alacaklarından fazla olduğu ölçüde ücret ve masraf avanslarını geri vermekle yükümlüdür. Tarafların hapis hakları saklıdır. VII. Rekabet yasağı","TBK m.443 metnine göre: ""biri, diğerinden veya üçüncü bir kişiden diğerinin hesabına, hizmetle ilişkili olarak almış olduğu şeyleri geri vermekle yükümlüdür."" [Kaynak: TBK m.443]",REVISE,,"TBK m.443 metnine göre: ""Sözleşmenin sona ermesi durumunda, taraflardan her biri, diğerinden veya üçüncü bir kişiden diğerinin hesabına, hizmetle ilişkili olarak almış olduğu şeyleri geri vermekle yükümlüdür. İşçi, özellikle motorlu taşıtları ve trafik izin belgelerini, alacaklarından fazla olduğu ölçüde ücret ve masraf avanslarını geri vermekle yükümlüdür. Tarafların hapis hakları saklıdır."" [Kaynak: TBK m.443]",
7,4a071f12d275875d,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:622:tpl:3,train_pending_review,,,,,TBK m.622 kapsamında düzenlenen hususu tek paragrafta özetler misin?,"[Kaynak: TBK m.622] Başlık: 1. Kazancın paylaşılması / Ortaklar, niteliği gereği ortaklığa ait olan bütün
kazançları aralarında paylaşmakla yükümlüdürler.","Özet: ""kazançları aralarında paylaşmakla yükümlüdürler."" [Kaynak: TBK m.622]",REVISE,,"Özet: Ortaklar, niteliği gereği ortaklığa ait olan bütün kazançları aralarında paylaşmakla yükümlüdürler. [Kaynak: TBK m.622]",
8,4a0af1dd71649852,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:565:tpl:2,train_pending_review,,,,,TBK m.565 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.565] Başlık: Saklayan, belirlenmiş olan sürenin sona ermesinden önce
saklananı geri veremez. Ancak saklayan, öngörülemeyen durumlar dolayısıyla sözleşmenin devamı saklanan için tehlikeli veya kendisi için zararlı olursa, belirlenen sürenin sona ermesinden önce de geri verebilir. Süre belirlenmemişse, saklayan saklananı her zaman geri verebilir. Birden çok kişi bir şeyi saklanmak üzere verirse, sözleşmede aksine bir hüküm bulunmadıkça veya hepsinin rızası olmadıkça, saklayan saklananı onlardan birine geri vermekle sorumluluktan kurtulamaz. c. Geri verme yeri","Madde metni şu kuralı içerir: ""saklananı geri veremez. Ancak saklayan, öngörülemeyen durumlar dolayısıyla sözleşmenin devamı saklanan için tehlikeli veya kendisi için zararlı olursa, belirlenen sürenin sona ermesinden önce de geri verebilir."" [Kaynak: TBK m.565]",REVISE,,"Madde metni şu kuralı içerir: Saklayan, belirlenmiş olan sürenin sona ermesinden önce saklananı geri veremez. Ancak saklayan, öngörülemeyen durumlar dolayısıyla sözleşmenin devamı saklanan için tehlikeli veya kendisi için zararlı olursa, belirlenen sürenin sona ermesinden önce de geri verebilir. Süre belirlenmemişse, saklayan saklananı her zaman geri verebilir. Birden çok kişi bir şeyi saklanmak üzere verirse, sözleşmede aksine bir hüküm bulunmadıkça veya hepsinin rızası olmadıkça, saklayan saklananı onlardan birine geri vermekle sorumluluktan kurtulamaz. [Kaynak: TBK m.565]",
9,4a11119221304d1e,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:9:tpl:1,train_pending_review,,,,,TBK m.9'e göre temel kural nedir?,"[Kaynak: TBK m.9] Başlık: 6. İlan yoluyla ödül / Bir sonucun gerçekleşmesi karşılığında ödül vereceğini
ilan yoluyla duyuran kimse, sözünü yerine getirmekle yükümlüdür. Ödül sözü veren, sonucun gerçekleşmesinden önce sözünden cayarsa veya sonucun gerçekleşmesini engellerse, dürüstlük kurallarına uygun olarak yapılan giderleri ödemekle yükümlüdür. Ancak, bir ya da birden çok kişiye ödenecek giderlerin toplamı, ödülün değerini aşamaz. Ödül sözü veren, giderlerinin ödenmesini isteyenlerin beklenen sonucu gerçekleştiremeyeceklerini ispat ederse, giderleri ödeme yükümlülüğünden kurtulur.","TBK m.9 metnine göre: ""ilan yoluyla duyuran kimse, sözünü yerine getirmekle yükümlüdür. Ödül sözü veren, sonucun gerçekleşmesinden önce sözünden cayarsa veya sonucun gerçekleşmesini engellerse, dürüstlük kurallarına uygun olarak yapılan giderleri ödemekle yükümlüdür."" [Kaynak: TBK m.9]",REVISE,,"TBK m.9 metnine göre: ""Bir sonucun gerçekleşmesi karşılığında ödül vereceğini ilan yoluyla duyuran kimse, sözünü yerine getirmekle yükümlüdür. Ödül sözü veren, sonucun gerçekleşmesinden önce sözünden cayarsa veya sonucun gerçekleşmesini engellerse, dürüstlük kurallarına uygun olarak yapılan giderleri ödemekle yükümlüdür. Ancak, bir ya da birden çok kişiye ödenecek giderlerin toplamı, ödülün değerini aşamaz. Ödül sözü veren, giderlerinin ödenmesini isteyenlerin beklenen sonucu gerçekleştiremeyeceklerini ispat ederse, giderleri ödeme yükümlülüğünden kurtulur."" [Kaynak: TBK m.9]",
10,4a1625f45df9a647,,,,api-gateway/src/data_pipeline/fixtures/tbk_detail.html,madde:440:tpl:2,train_pending_review,,,,,TBK m.440 hükmünü kaynak metne dayanarak kısa şekilde açıklar mısın?,"[Kaynak: TBK m.440] Başlık: 1. İşçinin ölümü / Sözleşme, işçinin ölümüyle kendiliğinden sona erer.
İşveren, işçinin sağ kalan eşine ve ergin olmayan çocuklarına, yoksa bakmakla yükümlü olduğu kişilere, ölüm gününden başlayarak bir aylık; hizmet ilişkisi beş yıldan uzun bir süre devam etmişse, iki aylık ücret tutarında bir ödeme yapmakla yükümlüdür.","Madde metni şu kuralı içerir: ""İşveren, işçinin sağ kalan eşine ve ergin olmayan çocuklarına, yoksa bakmakla yükümlü olduğu kişilere, ölüm gününden başlayarak bir aylık; hizmet ilişkisi beş yıldan uzun bir süre devam etmişse, iki aylık ücret tutarında bir ödeme yapmakla yükümlüdür."" [Kaynak: TBK m.440]",REVISE,,"Madde metni şu kuralı içerir: Sözleşme, işçinin ölümüyle kendiliğinden sona erer. İşveren, işçinin sağ kalan eşine ve ergin olmayan çocuklarına, yoksa bakmakla yükümlü olduğu kişilere, ölüm gününden başlayarak bir aylık; hizmet ilişkisi beş yıldan uzun bir süre devam etmişse, iki aylık ücret tutarında bir ödeme yapmakla yükümlüdür. [Kaynak: TBK m.440]",
